Community Board,Borough,Complaint Type,cnt
12 MANHATTAN,MANHATTAN,PAINT/PLASTER,963
12 MANHATTAN,MANHATTAN,Noise - Commercial,906
12 MANHATTAN,MANHATTAN,UNSANITARY CONDITION,881
12 QUEENS,QUEENS,Noise - Residential,2145
12 QUEENS,QUEENS,Blocked Driveway,1596
12 QUEENS,QUEENS,Sewer,1067
12 QUEENS,QUEENS,Water System,930
12 QUEENS,QUEENS,Illegal Parking,896
12 QUEENS,QUEENS,Street Light Condition,893
12 QUEENS,QUEENS,HEAT/HOT WATER,853
12 QUEENS,QUEENS,Street Condition,774
12 QUEENS,QUEENS,Derelict Vehicles,742
12 QUEENS,QUEENS,Dirty Conditions,704
13 BROOKLYN,BROOKLYN,Noise - Residential,746
13 BROOKLYN,BROOKLYN,Illegal Parking,432
13 BROOKLYN,BROOKLYN,Blocked Driveway,430
13 BROOKLYN,BROOKLYN,HEAT/HOT WATER,397
13 BROOKLYN,BROOKLYN,Street Condition,286
13 BROOKLYN,BROOKLYN,Water System,225
13 BROOKLYN,BROOKLYN,Sewer,216
13 BROOKLYN,BROOKLYN,HEATING,198
13 BROOKLYN,BROOKLYN,PLUMBING,195
13 BROOKLYN,BROOKLYN,UNSANITARY CONDITION,185
13 QUEENS,QUEENS,Street Light Condition,997
13 QUEENS,QUEENS,Noise - Residential,979
13 QUEENS,QUEENS,Street Condition,939
13 QUEENS,QUEENS,Damaged Tree,915
13 QUEENS,QUEENS,Sewer,818
13 QUEENS,QUEENS,Water System,779
13 QUEENS,QUEENS,Blocked Driveway,755
13 QUEENS,QUEENS,Illegal Parking,722
13 QUEENS,QUEENS,Derelict Vehicle,535
13 QUEENS,QUEENS,Request Large Bulky Item Collection,495
14 BROOKLYN,BROOKLYN,Noise - Residential,2002
14 BROOKLYN,BROOKLYN,HEAT/HOT WATER,1871
14 BROOKLYN,BROOKLYN,Blocked Driveway,1014
14 BROOKLYN,BROOKLYN,Illegal Parking,937
14 BROOKLYN,BROOKLYN,PLUMBING,888
14 BROOKLYN,BROOKLYN,HEATING,713
14 BROOKLYN,BROOKLYN,UNSANITARY CONDITION,700
14 BROOKLYN,BROOKLYN,PAINT/PLASTER,623
14 BROOKLYN,BROOKLYN,GENERAL CONSTRUCTION,586
14 BROOKLYN,BROOKLYN,Noise - Street/Sidewalk,547
14 QUEENS,QUEENS,Noise - Residential,905
14 QUEENS,QUEENS,HEAT/HOT WATER,562
14 QUEENS,QUEENS,Sewer,540
14 QUEENS,QUEENS,Illegal Parking,518
14 QUEENS,QUEENS,Street Light Condition,518
14 QUEENS,QUEENS,Water System,442
14 QUEENS,QUEENS,Street Condition,436
14 QUEENS,QUEENS,UNSANITARY CONDITION,341
14 QUEENS,QUEENS,PLUMBING,301
14 QUEENS,QUEENS,Blocked Driveway,293
15 BROOKLYN,BROOKLYN,Blocked Driveway,1096
15 BROOKLYN,BROOKLYN,Illegal Parking,1060
15 BROOKLYN,BROOKLYN,Noise - Residential,918
15 BROOKLYN,BROOKLYN,HEAT/HOT WATER,817
15 BROOKLYN,BROOKLYN,Street Condition,681
15 BROOKLYN,BROOKLYN,Water System,475
15 BROOKLYN,BROOKLYN,Damaged Tree,431
15 BROOKLYN,BROOKLYN,Sewer,415
15 BROOKLYN,BROOKLYN,Street Light Condition,394
15 BROOKLYN,BROOKLYN,Dirty Conditions,332
16 BROOKLYN,BROOKLYN,Noise - Residential,1069
16 BROOKLYN,BROOKLYN,HEAT/HOT WATER,648
16 BROOKLYN,BROOKLYN,PLUMBING,447
16 BROOKLYN,BROOKLYN,Blocked Driveway,408
16 BROOKLYN,BROOKLYN,UNSANITARY CONDITION,365
16 BROOKLYN,BROOKLYN,HEATING,324
16 BROOKLYN,BROOKLYN,Illegal Parking,278
16 BROOKLYN,BROOKLYN,PAINT/PLASTER,255
16 BROOKLYN,BROOKLYN,GENERAL CONSTRUCTION,250
16 BROOKLYN,BROOKLYN,Water System,248
17 BROOKLYN,BROOKLYN,HEAT/HOT WATER,2041
17 BROOKLYN,BROOKLYN,Noise - Residential,1898
17 BROOKLYN,BROOKLYN,Blocked Driveway,1429
17 BROOKLYN,BROOKLYN,PLUMBING,1037
17 BROOKLYN,BROOKLYN,UNSANITARY CONDITION,836
17 BROOKLYN,BROOKLYN,HEATING,803
17 BROOKLYN,BROOKLYN,PAINT/PLASTER,631
17 BROOKLYN,BROOKLYN,GENERAL CONSTRUCTION,558
17 BROOKLYN,BROOKLYN,Illegal Parking,511
17 BROOKLYN,BROOKLYN,Derelict Vehicles,482
18 BROOKLYN,BROOKLYN,Blocked Driveway,1722
18 BROOKLYN,BROOKLYN,Noise - Residential,1408
18 BROOKLYN,BROOKLYN,Illegal Parking,1191
18 BROOKLYN,BROOKLYN,Derelict Vehicles,789
18 BROOKLYN,BROOKLYN,Street Condition,688
18 BROOKLYN,BROOKLYN,Sewer,602
18 BROOKLYN,BROOKLYN,Damaged Tree,587
18 BROOKLYN,BROOKLYN,Water System,540
18 BROOKLYN,BROOKLYN,HEAT/HOT WATER,506
18 BROOKLYN,BROOKLYN,Derelict Vehicle,462
26 BRONX,BRONX,Highway Condition,11
26 BRONX,BRONX,Homeless Person Assistance,5
26 BRONX,BRONX,Noise - Park,5
26 BRONX,BRONX,Maintenance or Facility,4
26 BRONX,BRONX,Noise - Street/Sidewalk,4
26 BRONX,BRONX,Damaged Tree,3
26 BRONX,BRONX,Non-Emergency Police Matter,3
26 BRONX,BRONX,Violation of Park Rules,3
26 BRONX,BRONX,Street Condition,2
26 BRONX,BRONX,Street Sign - Missing,2
27 BRONX,BRONX,Highway Condition,11
27 BRONX,BRONX,Street Condition,3
27 BRONX,BRONX,Street Sign - Missing,3
27 BRONX,BRONX,Water System,2
27 BRONX,BRONX,Damaged Tree,2
27 BRONX,BRONX,Street Sign - Damaged,2
27 BRONX,BRONX,Noise - Street/Sidewalk,2
27 BRONX,BRONX,Maintenance or Facility,2
27 BRONX,BRONX,Sewer,2
27 BRONX,BRONX,Consumer Complaint,2
28 BRONX,BRONX,Street Condition,11
28 BRONX,BRONX,Highway Condition,10
28 BRONX,BRONX,Animal in a Park,4
28 BRONX,BRONX,Non-Emergency Police Matter,4
28 BRONX,BRONX,Street Light Condition,4
28 BRONX,BRONX,Traffic,3
28 BRONX,BRONX,Damaged Tree,3
28 BRONX,BRONX,Noise - Street/Sidewalk,2
28 BRONX,BRONX,Violation of Park Rules,2
28 BRONX,BRONX,Sanitation Condition,2
55 BROOKLYN,BROOKLYN,Maintenance or Facility,14
55 BROOKLYN,BROOKLYN,Noise - Street/Sidewalk,12
55 BROOKLYN,BROOKLYN,Noise - Park,11
55 BROOKLYN,BROOKLYN,Non-Emergency Police Matter,10
55 BROOKLYN,BROOKLYN,Damaged Tree,6
55 BROOKLYN,BROOKLYN,Violation of Park Rules,6
55 BROOKLYN,BROOKLYN,Street Condition,6
55 BROOKLYN,BROOKLYN,Noise - Residential,5
55 BROOKLYN,BROOKLYN,Sidewalk Condition,4
55 BROOKLYN,BROOKLYN,Water System,4
56 BROOKLYN,BROOKLYN,Highway Condition,27
56 BROOKLYN,BROOKLYN,Street Condition,6
56 BROOKLYN,BROOKLYN,Traffic Signal Condition,4
56 BROOKLYN,BROOKLYN,Street Light Condition,3
56 BROOKLYN,BROOKLYN,Maintenance or Facility,2
56 BROOKLYN,BROOKLYN,Noise,1
56 BROOKLYN,BROOKLYN,Noise - Park,1
56 BROOKLYN,BROOKLYN,Street Sign - Missing,1
56 BROOKLYN,BROOKLYN,Sidewalk Condition,1
56 BROOKLYN,BROOKLYN,Homeless Person Assistance,1
64 MANHATTAN,MANHATTAN,Noise - Park,51
64 MANHATTAN,MANHATTAN,Noise - Street/Sidewalk,25
64 MANHATTAN,MANHATTAN,Maintenance or Facility,21
64 MANHATTAN,MANHATTAN,Violation of Park Rules,18
64 MANHATTAN,MANHATTAN,Animal in a Park,14
64 MANHATTAN,MANHATTAN,Street Condition,13
64 MANHATTAN,MANHATTAN,Non-Emergency Police Matter,12
64 MANHATTAN,MANHATTAN,Homeless Person Assistance,8
64 MANHATTAN,MANHATTAN,Taxi Complaint,8
64 MANHATTAN,MANHATTAN,Consumer Complaint,6
80 QUEENS,QUEENS,Taxi Complaint,124
80 QUEENS,QUEENS,Lost Property,22
80 QUEENS,QUEENS,For Hire Vehicle Complaint,21
80 QUEENS,QUEENS,Taxi Report,21
80 QUEENS,QUEENS,For Hire Vehicle Report,3
80 QUEENS,QUEENS,Illegal Parking,3
80 QUEENS,QUEENS,Traffic,2
80 QUEENS,QUEENS,Food Establishment,2
80 QUEENS,QUEENS,Consumer Complaint,2
80 QUEENS,QUEENS,Street Condition,1
81 QUEENS,QUEENS,Highway Condition,42
81 QUEENS,QUEENS,Noise - Park,17
81 QUEENS,QUEENS,Noise - Street/Sidewalk,7
81 QUEENS,QUEENS,Violation of Park Rules,7
81 QUEENS,QUEENS,Street Condition,6
81 QUEENS,QUEENS,Taxi Complaint,5
81 QUEENS,QUEENS,Noise - Vehicle,5
81 QUEENS,QUEENS,Illegal Parking,5
81 QUEENS,QUEENS,Non-Emergency Police Matter,4
81 QUEENS,QUEENS,Traffic,3
82 QUEENS,QUEENS,Noise - Park,13
82 QUEENS,QUEENS,Street Light Condition,12
82 QUEENS,QUEENS,Traffic Signal Condition,10
82 QUEENS,QUEENS,Animal in a Park,9
82 QUEENS,QUEENS,Illegal Parking,6
82 QUEENS,QUEENS,Noise - Street/Sidewalk,6
82 QUEENS,QUEENS,Maintenance or Facility,6
82 QUEENS,QUEENS,Noise - Vehicle,6
82 QUEENS,QUEENS,Violation of Park Rules,5
82 QUEENS,QUEENS,Highway Condition,3
83 QUEENS,QUEENS,Taxi Complaint,177
83 QUEENS,QUEENS,For Hire Vehicle Complaint,57
83 QUEENS,QUEENS,Lost Property,33
83 QUEENS,QUEENS,Taxi Report,25
83 QUEENS,QUEENS,Highway Condition,9
83 QUEENS,QUEENS,Food Establishment,6
83 QUEENS,QUEENS,For Hire Vehicle Report,5
83 QUEENS,QUEENS,Non-Emergency Police Matter,3
83 QUEENS,QUEENS,Consumer Complaint,3
83 QUEENS,QUEENS,Found Property,2
84 QUEENS,QUEENS,Street Light Condition,9
84 QUEENS,QUEENS,Illegal Parking,4
84 QUEENS,QUEENS,Maintenance or Facility,3
84 QUEENS,QUEENS,Bridge Condition,3
84 QUEENS,QUEENS,Street Condition,2
84 QUEENS,QUEENS,Non-Emergency Police Matter,1
84 QUEENS,QUEENS,HEATING,1
84 QUEENS,QUEENS,Sewer,1
84 QUEENS,QUEENS,Violation of Park Rules,1
84 QUEENS,QUEENS,Sidewalk Condition,1
95 STATEN ISLAND,STATEN ISLAND,Street Light Condition,7
95 STATEN ISLAND,STATEN ISLAND,Noise - Commercial,5
95 STATEN ISLAND,STATEN ISLAND,Street Condition,5
95 STATEN ISLAND,STATEN ISLAND,Maintenance or Facility,3
95 STATEN ISLAND,STATEN ISLAND,Illegal Parking,3
95 STATEN ISLAND,STATEN ISLAND,Sewer,2
95 STATEN ISLAND,STATEN ISLAND,Noise,2
95 STATEN ISLAND,STATEN ISLAND,Non-Emergency Police Matter,1
95 STATEN ISLAND,STATEN ISLAND,Dirty Conditions,1
95 STATEN ISLAND,STATEN ISLAND,Street Sign - Damaged,1
Unspecified BRONX,BRONX,Street Light Condition,5081
Unspecified BRONX,BRONX,Street Condition,1583
Unspecified BRONX,BRONX,Traffic Signal Condition,1580
Unspecified BRONX,BRONX,HEATING,849
Unspecified BRONX,BRONX,General Construction/Plumbing,624
Unspecified BRONX,BRONX,Rodent,448
Unspecified BRONX,BRONX,PLUMBING,367
Unspecified BRONX,BRONX,HEAT/HOT WATER,351
Unspecified BRONX,BRONX,GENERAL CONSTRUCTION,293
Unspecified BRONX,BRONX,Water System,263
Unspecified BROOKLYN,BROOKLYN,Street Light Condition,4352
Unspecified BROOKLYN,BROOKLYN,Street Condition,3072
Unspecified BROOKLYN,BROOKLYN,General Construction/Plumbing,2800
Unspecified BROOKLYN,BROOKLYN,Traffic Signal Condition,1922
Unspecified BROOKLYN,BROOKLYN,HEATING,857
Unspecified BROOKLYN,BROOKLYN,Rodent,796
Unspecified BROOKLYN,BROOKLYN,PLUMBING,454
Unspecified BROOKLYN,BROOKLYN,GENERAL CONSTRUCTION,418
Unspecified BROOKLYN,BROOKLYN,HEAT/HOT WATER,390
Unspecified BROOKLYN,BROOKLYN,PAINT - PLASTER,281
Unspecified MANHATTAN,MANHATTAN,Street Light Condition,4730
Unspecified MANHATTAN,MANHATTAN,Traffic Signal Condition,3411
Unspecified MANHATTAN,MANHATTAN,Street Condition,1908
Unspecified MANHATTAN,MANHATTAN,General Construction/Plumbing,1674
Unspecified MANHATTAN,MANHATTAN,Rodent,609
Unspecified MANHATTAN,MANHATTAN,HEATING,556
Unspecified MANHATTAN,MANHATTAN,Homeless Person Assistance,449
Unspecified MANHATTAN,MANHATTAN,Noise,277
Unspecified MANHATTAN,MANHATTAN,HEAT/HOT WATER,259
Unspecified MANHATTAN,MANHATTAN,PLUMBING,226
Unspecified QUEENS,QUEENS,Street Light Condition,3853
Unspecified QUEENS,QUEENS,Street Condition,3732
Unspecified QUEENS,QUEENS,General Construction/Plumbing,2227
Unspecified QUEENS,QUEENS,Traffic Signal Condition,1578
Unspecified QUEENS,QUEENS,Rodent,328
Unspecified QUEENS,QUEENS,HEATING,324
Unspecified QUEENS,QUEENS,Water System,293
Unspecified QUEENS,QUEENS,Sewer,255
Unspecified QUEENS,QUEENS,Building/Use,171
Unspecified QUEENS,QUEENS,Highway Condition,157
Unspecified STATEN ISLAND,STATEN ISLAND,Street Condition,1612
Unspecified STATEN ISLAND,STATEN ISLAND,General Construction/Plumbing,428
Unspecified STATEN ISLAND,STATEN ISLAND,Rodent,84
Unspecified STATEN ISLAND,STATEN ISLAND,Street Light Condition,61
Unspecified STATEN ISLAND,STATEN ISLAND,Sewer,60
Unspecified STATEN ISLAND,STATEN ISLAND,Water System,51
Unspecified STATEN ISLAND,STATEN ISLAND,Sanitation Condition,46
Unspecified STATEN ISLAND,STATEN ISLAND,Building/Use,31
Unspecified STATEN ISLAND,STATEN ISLAND,Traffic Signal Condition,31
Unspecified STATEN ISLAND,STATEN ISLAND,PLUMBING,29
