district,population,request_type,response_hours
Harbourview,120000,Water leak,20.7
Harbourview,120000,Noise,31.0
Harbourview,120000,Pothole,10.6
Harbourview,120000,Water leak,38.3
Harbourview,120000,Streetlight out,10.2
Harbourview,120000,Water leak,12.7
Harbourview,120000,Graffiti,4.3
Harbourview,120000,Graffiti,10.3
Harbourview,120000,Streetlight out,18.4
Harbourview,120000,Noise,23.0
Harbourview,120000,Water leak,14.7
Harbourview,120000,Streetlight out,17.3
Harbourview,120000,Illegal dumping,9.3
Harbourview,120000,Illegal dumping,28.9
Harbourview,120000,Noise,26.8
Harbourview,120000,Streetlight out,23.2
Harbourview,120000,Pothole,18.5
Harbourview,120000,Streetlight out,15.2
Harbourview,120000,Streetlight out,21.3
Harbourview,120000,Noise,18.8
Harbourview,120000,Noise,16.0
Harbourview,120000,Streetlight out,20.8
Harbourview,120000,Graffiti,26.0
Harbourview,120000,Illegal dumping,33.2
Harbourview,120000,Water leak,20.7
Harbourview,120000,Illegal dumping,22.3
Harbourview,120000,Streetlight out,4.8
Harbourview,120000,Noise,21.9
Harbourview,120000,Streetlight out,37.2
Harbourview,120000,Water leak,20.0
Harbourview,120000,Illegal dumping,22.1
Harbourview,120000,Water leak,16.6
Harbourview,120000,Streetlight out,18.7
Harbourview,120000,Noise,57.2
Harbourview,120000,Noise,13.7
Harbourview,120000,Illegal dumping,14.9
Harbourview,120000,Streetlight out,17.4
Harbourview,120000,Streetlight out,37.9
Harbourview,120000,Pothole,8.4
Harbourview,120000,Noise,30.3
Harbourview,120000,Noise,22.5
Harbourview,120000,Graffiti,12.2
Harbourview,120000,Noise,19.3
Harbourview,120000,Noise,50.0
Harbourview,120000,Illegal dumping,12.7
Harbourview,120000,Pothole,20.2
Harbourview,120000,Pothole,12.6
Harbourview,120000,Pothole,20.6
Harbourview,120000,Pothole,16.2
Harbourview,120000,Illegal dumping,15.3
Harbourview,120000,Pothole,55.8
Harbourview,120000,Pothole,33.5
Harbourview,120000,Streetlight out,9.9
Harbourview,120000,Illegal dumping,35.8
Harbourview,120000,Noise,14.6
Harbourview,120000,Pothole,29.7
Harbourview,120000,Pothole,24.2
Harbourview,120000,Streetlight out,16.8
Harbourview,120000,Illegal dumping,18.7
Harbourview,120000,Pothole,15.4
Harbourview,120000,Graffiti,17.5
Harbourview,120000,Pothole,12.2
Harbourview,120000,Illegal dumping,17.7
Harbourview,120000,Pothole,31.3
Harbourview,120000,Water leak,27.3
Harbourview,120000,Pothole,8.1
Harbourview,120000,Water leak,21.1
Harbourview,120000,Graffiti,9.1
Harbourview,120000,Pothole,13.6
Harbourview,120000,Illegal dumping,21.5
Harbourview,120000,Water leak,22.5
Harbourview,120000,Streetlight out,42.6
Harbourview,120000,Illegal dumping,15.3
Harbourview,120000,Pothole,18.4
Harbourview,120000,Illegal dumping,18.1
Harbourview,120000,Illegal dumping,17.8
Harbourview,120000,Graffiti,18.4
Harbourview,120000,Illegal dumping,7.8
Harbourview,120000,Water leak,24.7
Harbourview,120000,Pothole,27.4
Harbourview,120000,Water leak,29.7
Harbourview,120000,Noise,48.4
Harbourview,120000,Water leak,27.9
Harbourview,120000,Streetlight out,30.1
Harbourview,120000,Pothole,12.3
Harbourview,120000,Graffiti,32.9
Harbourview,120000,Water leak,18.4
Harbourview,120000,Streetlight out,15.0
Harbourview,120000,Water leak,31.8
Harbourview,120000,Graffiti,13.9
Harbourview,120000,Illegal dumping,12.9
Harbourview,120000,Pothole,28.4
Harbourview,120000,Noise,9.8
Harbourview,120000,Illegal dumping,18.7
Harbourview,120000,Pothole,19.2
Harbourview,120000,Graffiti,20.1
Harbourview,120000,Noise,18.6
Harbourview,120000,Pothole,16.8
Harbourview,120000,Illegal dumping,21.6
Harbourview,120000,Water leak,19.5
Harbourview,120000,Illegal dumping,21.1
Harbourview,120000,Streetlight out,33.0
Harbourview,120000,Noise,8.4
Harbourview,120000,Illegal dumping,19.1
Harbourview,120000,Water leak,23.1
Harbourview,120000,Water leak,20.7
Harbourview,120000,Water leak,13.5
Harbourview,120000,Pothole,8.4
Harbourview,120000,Noise,35.8
Harbourview,120000,Noise,38.2
Harbourview,120000,Noise,25.5
Harbourview,120000,Graffiti,12.0
Harbourview,120000,Illegal dumping,11.6
Harbourview,120000,Water leak,12.7
Harbourview,120000,Water leak,15.1
Harbourview,120000,Graffiti,33.4
Harbourview,120000,Pothole,9.4
Harbourview,120000,Pothole,17.4
Harbourview,120000,Noise,11.6
Harbourview,120000,Streetlight out,19.9
Harbourview,120000,Noise,33.1
Harbourview,120000,Illegal dumping,10.1
Harbourview,120000,Streetlight out,7.6
Harbourview,120000,Illegal dumping,19.0
Harbourview,120000,Graffiti,37.3
Harbourview,120000,Water leak,19.0
Harbourview,120000,Graffiti,26.6
Harbourview,120000,Graffiti,26.4
Harbourview,120000,Noise,11.4
Harbourview,120000,Illegal dumping,22.4
Harbourview,120000,Streetlight out,14.0
Harbourview,120000,Illegal dumping,44.5
Harbourview,120000,Illegal dumping,51.6
Harbourview,120000,Noise,54.1
Harbourview,120000,Noise,9.3
Harbourview,120000,Water leak,12.6
Harbourview,120000,Water leak,14.1
Harbourview,120000,Water leak,28.1
Harbourview,120000,Noise,14.3
Harbourview,120000,Graffiti,17.6
Harbourview,120000,Noise,25.0
Harbourview,120000,Streetlight out,8.5
Harbourview,120000,Illegal dumping,20.1
Harbourview,120000,Pothole,23.0
Harbourview,120000,Streetlight out,18.0
Harbourview,120000,Water leak,9.6
Harbourview,120000,Water leak,35.2
Harbourview,120000,Graffiti,5.0
Harbourview,120000,Noise,17.4
Harbourview,120000,Graffiti,5.3
Harbourview,120000,Noise,16.5
Harbourview,120000,Noise,16.0
Harbourview,120000,Illegal dumping,21.0
Harbourview,120000,Noise,31.1
Harbourview,120000,Pothole,5.8
Harbourview,120000,Graffiti,23.5
Harbourview,120000,Noise,13.2
Harbourview,120000,Streetlight out,27.4
Harbourview,120000,Pothole,11.6
Harbourview,120000,Graffiti,19.4
Harbourview,120000,Pothole,7.7
Harbourview,120000,Noise,17.2
Harbourview,120000,Noise,10.1
Harbourview,120000,Noise,27.7
Harbourview,120000,Noise,21.7
Harbourview,120000,Pothole,27.3
Harbourview,120000,Streetlight out,36.0
Harbourview,120000,Noise,20.8
Harbourview,120000,Graffiti,11.5
Harbourview,120000,Streetlight out,19.4
Harbourview,120000,Pothole,25.0
Harbourview,120000,Pothole,6.6
Harbourview,120000,Graffiti,6.3
Harbourview,120000,Pothole,7.6
Harbourview,120000,Streetlight out,19.8
Harbourview,120000,Illegal dumping,6.2
Harbourview,120000,Illegal dumping,15.1
Harbourview,120000,Pothole,18.8
Harbourview,120000,Noise,16.0
Harbourview,120000,Illegal dumping,26.2
Harbourview,120000,Illegal dumping,43.4
Harbourview,120000,Illegal dumping,13.8
Harbourview,120000,Streetlight out,61.2
Harbourview,120000,Water leak,23.1
Harbourview,120000,Streetlight out,8.7
Harbourview,120000,Noise,14.6
Harbourview,120000,Graffiti,30.6
Harbourview,120000,Streetlight out,73.9
Harbourview,120000,Water leak,16.3
Harbourview,120000,Graffiti,21.1
Harbourview,120000,Noise,20.1
Harbourview,120000,Illegal dumping,17.8
Harbourview,120000,Pothole,7.8
Harbourview,120000,Noise,48.6
Harbourview,120000,Streetlight out,17.0
Harbourview,120000,Noise,21.8
Harbourview,120000,Streetlight out,45.5
Harbourview,120000,Noise,16.3
Harbourview,120000,Water leak,20.9
Harbourview,120000,Graffiti,6.9
Harbourview,120000,Illegal dumping,10.1
Harbourview,120000,Noise,9.5
Harbourview,120000,Graffiti,16.5
Harbourview,120000,Pothole,29.6
Harbourview,120000,Graffiti,7.4
Harbourview,120000,Illegal dumping,7.6
Harbourview,120000,Noise,22.4
Harbourview,120000,Pothole,22.1
Harbourview,120000,Pothole,17.2
Harbourview,120000,Pothole,8.0
Harbourview,120000,Graffiti,49.5
Harbourview,120000,Illegal dumping,15.9
Harbourview,120000,Illegal dumping,9.8
Harbourview,120000,Water leak,19.7
Harbourview,120000,Streetlight out,32.3
Harbourview,120000,Streetlight out,27.9
Harbourview,120000,Water leak,41.1
Harbourview,120000,Noise,24.7
Harbourview,120000,Illegal dumping,18.4
Harbourview,120000,Illegal dumping,30.0
Harbourview,120000,Water leak,26.6
Harbourview,120000,Water leak,22.2
Harbourview,120000,Water leak,20.5
Harbourview,120000,Illegal dumping,22.0
Harbourview,120000,Pothole,19.4
Harbourview,120000,Graffiti,76.8
Harbourview,120000,Pothole,29.4
Harbourview,120000,Illegal dumping,20.0
Harbourview,120000,Illegal dumping,18.8
Harbourview,120000,Illegal dumping,33.6
Harbourview,120000,Streetlight out,27.2
Harbourview,120000,Water leak,29.5
Harbourview,120000,Pothole,18.7
Harbourview,120000,Water leak,13.4
Harbourview,120000,Graffiti,18.4
Harbourview,120000,Streetlight out,9.0
Harbourview,120000,Noise,38.9
Harbourview,120000,Graffiti,21.4
Harbourview,120000,Illegal dumping,5.9
Harbourview,120000,Noise,29.6
Harbourview,120000,Illegal dumping,24.8
Harbourview,120000,Illegal dumping,7.1
Harbourview,120000,Water leak,12.7
Harbourview,120000,Illegal dumping,11.3
Harbourview,120000,Illegal dumping,21.9
Harbourview,120000,Illegal dumping,16.5
Harbourview,120000,Graffiti,11.9
Harbourview,120000,Graffiti,16.2
Harbourview,120000,Water leak,33.5
Harbourview,120000,Pothole,24.0
Harbourview,120000,Water leak,20.3
Harbourview,120000,Water leak,39.5
Harbourview,120000,Streetlight out,16.4
Harbourview,120000,Graffiti,11.4
Harbourview,120000,Graffiti,13.5
Harbourview,120000,Illegal dumping,10.6
Harbourview,120000,Illegal dumping,17.3
Harbourview,120000,Illegal dumping,14.8
Harbourview,120000,Noise,18.6
Harbourview,120000,Water leak,18.9
Harbourview,120000,Pothole,8.0
Harbourview,120000,Water leak,18.9
Harbourview,120000,Water leak,12.2
Harbourview,120000,Illegal dumping,21.3
Harbourview,120000,Noise,20.1
Harbourview,120000,Pothole,24.0
Harbourview,120000,Illegal dumping,12.7
Harbourview,120000,Illegal dumping,39.9
Harbourview,120000,Streetlight out,9.4
Harbourview,120000,Streetlight out,18.7
Harbourview,120000,Water leak,13.4
Harbourview,120000,Streetlight out,21.9
Harbourview,120000,Illegal dumping,19.2
Harbourview,120000,Streetlight out,38.4
Harbourview,120000,Graffiti,20.4
Northgate,90000,Illegal dumping,51.4
Northgate,90000,Illegal dumping,24.8
Northgate,90000,Pothole,29.0
Northgate,90000,Graffiti,17.4
Northgate,90000,Streetlight out,39.5
Northgate,90000,Streetlight out,59.0
Northgate,90000,Pothole,9.7
Northgate,90000,Graffiti,36.0
Northgate,90000,Water leak,20.4
Northgate,90000,Water leak,54.4
Northgate,90000,Noise,29.8
Northgate,90000,Pothole,47.6
Northgate,90000,Pothole,43.1
Northgate,90000,Graffiti,27.4
Northgate,90000,Graffiti,12.6
Northgate,90000,Graffiti,16.1
Northgate,90000,Illegal dumping,34.2
Northgate,90000,Streetlight out,36.0
Northgate,90000,Illegal dumping,39.1
Northgate,90000,Pothole,19.4
Northgate,90000,Water leak,29.8
Northgate,90000,Streetlight out,52.9
Northgate,90000,Illegal dumping,30.0
Northgate,90000,Graffiti,16.7
Northgate,90000,Illegal dumping,33.7
Northgate,90000,Noise,64.0
Northgate,90000,Graffiti,13.2
Northgate,90000,Illegal dumping,54.3
Northgate,90000,Streetlight out,29.8
Northgate,90000,Water leak,13.5
Northgate,90000,Noise,40.7
Northgate,90000,Illegal dumping,25.0
Northgate,90000,Illegal dumping,33.0
Northgate,90000,Illegal dumping,71.5
Northgate,90000,Water leak,19.6
Northgate,90000,Pothole,19.5
Northgate,90000,Illegal dumping,20.8
Northgate,90000,Water leak,69.7
Northgate,90000,Illegal dumping,40.5
Northgate,90000,Graffiti,17.4
Northgate,90000,Noise,14.1
Northgate,90000,Water leak,22.9
Northgate,90000,Streetlight out,58.1
Northgate,90000,Water leak,25.4
Northgate,90000,Graffiti,61.1
Northgate,90000,Streetlight out,50.1
Northgate,90000,Pothole,37.5
Northgate,90000,Graffiti,45.1
Northgate,90000,Graffiti,24.2
Northgate,90000,Graffiti,16.9
Northgate,90000,Noise,23.3
Northgate,90000,Noise,34.1
Northgate,90000,Noise,53.6
Northgate,90000,Pothole,34.9
Northgate,90000,Pothole,23.6
Northgate,90000,Water leak,42.9
Northgate,90000,Graffiti,15.6
Northgate,90000,Illegal dumping,37.0
Northgate,90000,Illegal dumping,17.8
Northgate,90000,Streetlight out,29.1
Northgate,90000,Noise,46.5
Northgate,90000,Pothole,33.4
Northgate,90000,Noise,50.5
Northgate,90000,Graffiti,212.6
Northgate,90000,Water leak,22.3
Northgate,90000,Graffiti,27.5
Northgate,90000,Streetlight out,26.9
Northgate,90000,Illegal dumping,40.0
Northgate,90000,Water leak,27.4
Northgate,90000,Streetlight out,47.6
Northgate,90000,Noise,22.7
Northgate,90000,Pothole,12.1
Northgate,90000,Noise,48.9
Northgate,90000,Water leak,6.0
Northgate,90000,Water leak,18.5
Northgate,90000,Illegal dumping,6.2
Northgate,90000,Noise,25.3
Northgate,90000,Pothole,35.6
Northgate,90000,Graffiti,17.3
Northgate,90000,Noise,17.9
Northgate,90000,Illegal dumping,23.8
Northgate,90000,Streetlight out,11.2
Northgate,90000,Illegal dumping,21.2
Northgate,90000,Water leak,21.2
Northgate,90000,Water leak,47.3
Northgate,90000,Pothole,12.3
Northgate,90000,Illegal dumping,21.9
Northgate,90000,Streetlight out,29.8
Northgate,90000,Noise,50.3
Northgate,90000,Illegal dumping,28.6
Northgate,90000,Graffiti,13.9
Northgate,90000,Graffiti,21.1
Northgate,90000,Graffiti,20.5
Northgate,90000,Streetlight out,19.4
Northgate,90000,Noise,102.4
Northgate,90000,Pothole,31.6
Northgate,90000,Streetlight out,97.1
Northgate,90000,Water leak,22.5
Northgate,90000,Pothole,33.1
Northgate,90000,Streetlight out,45.4
Northgate,90000,Graffiti,27.2
Northgate,90000,Pothole,23.4
Northgate,90000,Graffiti,49.9
Northgate,90000,Pothole,50.7
Northgate,90000,Noise,10.0
Northgate,90000,Streetlight out,22.6
Northgate,90000,Water leak,57.0
Northgate,90000,Graffiti,15.0
Northgate,90000,Water leak,22.5
Northgate,90000,Illegal dumping,18.8
Northgate,90000,Graffiti,12.6
Northgate,90000,Pothole,25.4
Northgate,90000,Pothole,19.2
Northgate,90000,Noise,15.1
Northgate,90000,Water leak,50.3
Northgate,90000,Noise,51.4
Northgate,90000,Illegal dumping,54.7
Northgate,90000,Illegal dumping,10.4
Northgate,90000,Noise,34.8
Northgate,90000,Noise,66.7
Northgate,90000,Streetlight out,27.7
Northgate,90000,Streetlight out,18.1
Northgate,90000,Streetlight out,26.4
Northgate,90000,Graffiti,30.2
Northgate,90000,Graffiti,21.5
Northgate,90000,Pothole,45.8
Northgate,90000,Streetlight out,57.5
Northgate,90000,Illegal dumping,48.5
Northgate,90000,Water leak,70.3
Northgate,90000,Streetlight out,26.2
Northgate,90000,Water leak,32.7
Northgate,90000,Noise,42.0
Northgate,90000,Pothole,62.1
Northgate,90000,Water leak,18.0
Northgate,90000,Noise,33.2
Northgate,90000,Pothole,71.9
Northgate,90000,Water leak,16.5
Northgate,90000,Illegal dumping,18.2
Northgate,90000,Graffiti,26.3
Northgate,90000,Noise,40.3
Northgate,90000,Illegal dumping,33.7
Northgate,90000,Graffiti,49.7
Northgate,90000,Pothole,31.9
Northgate,90000,Streetlight out,39.3
Northgate,90000,Graffiti,46.6
Northgate,90000,Illegal dumping,20.2
Northgate,90000,Pothole,68.9
Northgate,90000,Noise,19.0
Northgate,90000,Streetlight out,21.0
Northgate,90000,Noise,23.8
Northgate,90000,Graffiti,85.2
Northgate,90000,Streetlight out,99.2
Northgate,90000,Pothole,17.3
Northgate,90000,Noise,13.9
Northgate,90000,Streetlight out,37.3
Northgate,90000,Water leak,12.5
Northgate,90000,Noise,16.1
Northgate,90000,Water leak,35.0
Northgate,90000,Water leak,50.1
Northgate,90000,Water leak,11.9
Northgate,90000,Water leak,19.7
Northgate,90000,Illegal dumping,32.9
Northgate,90000,Illegal dumping,13.6
Northgate,90000,Graffiti,35.8
Northgate,90000,Pothole,18.8
Northgate,90000,Graffiti,45.0
Northgate,90000,Water leak,79.8
Northgate,90000,Pothole,26.3
Northgate,90000,Pothole,54.5
Northgate,90000,Streetlight out,23.0
Northgate,90000,Noise,29.0
Northgate,90000,Illegal dumping,44.1
Northgate,90000,Water leak,24.5
Northgate,90000,Illegal dumping,31.6
Northgate,90000,Water leak,14.2
Northgate,90000,Pothole,15.8
Northgate,90000,Noise,27.1
Northgate,90000,Water leak,52.4
Northgate,90000,Graffiti,36.8
Northgate,90000,Graffiti,72.9
Elmwood,60000,Illegal dumping,8.9
Elmwood,60000,Graffiti,22.9
Elmwood,60000,Water leak,27.5
Elmwood,60000,Water leak,20.3
Elmwood,60000,Water leak,45.2
Elmwood,60000,Graffiti,14.7
Elmwood,60000,Water leak,15.3
Elmwood,60000,Pothole,21.2
Elmwood,60000,Illegal dumping,47.7
Elmwood,60000,Streetlight out,37.2
Elmwood,60000,Graffiti,13.7
Elmwood,60000,Noise,41.4
Elmwood,60000,Pothole,20.7
Elmwood,60000,Streetlight out,31.8
Elmwood,60000,Graffiti,68.2
Elmwood,60000,Pothole,26.7
Elmwood,60000,Illegal dumping,24.4
Elmwood,60000,Water leak,19.5
Elmwood,60000,Pothole,41.6
Elmwood,60000,Water leak,30.5
Elmwood,60000,Pothole,13.8
Elmwood,60000,Noise,35.4
Elmwood,60000,Graffiti,41.0
Elmwood,60000,Water leak,33.1
Elmwood,60000,Noise,18.5
Elmwood,60000,Noise,22.7
Elmwood,60000,Illegal dumping,47.0
Elmwood,60000,Graffiti,94.0
Elmwood,60000,Water leak,29.3
Elmwood,60000,Streetlight out,25.9
Elmwood,60000,Pothole,36.0
Elmwood,60000,Water leak,19.6
Elmwood,60000,Water leak,110.6
Elmwood,60000,Water leak,71.3
Elmwood,60000,Noise,72.8
Elmwood,60000,Noise,31.8
Elmwood,60000,Graffiti,32.1
Elmwood,60000,Illegal dumping,52.0
Elmwood,60000,Graffiti,10.6
Elmwood,60000,Illegal dumping,40.6
Elmwood,60000,Illegal dumping,30.1
Elmwood,60000,Pothole,25.2
Elmwood,60000,Noise,33.5
Elmwood,60000,Streetlight out,44.1
Elmwood,60000,Pothole,16.3
Elmwood,60000,Water leak,66.5
Elmwood,60000,Noise,32.3
Elmwood,60000,Water leak,11.8
Elmwood,60000,Graffiti,49.2
Elmwood,60000,Noise,27.4
Elmwood,60000,Illegal dumping,25.8
Elmwood,60000,Noise,23.5
Elmwood,60000,Streetlight out,36.6
Elmwood,60000,Illegal dumping,17.9
Elmwood,60000,Water leak,22.2
Elmwood,60000,Graffiti,39.2
Elmwood,60000,Pothole,31.6
Elmwood,60000,Streetlight out,13.9
Elmwood,60000,Graffiti,41.8
Elmwood,60000,Streetlight out,19.5
Elmwood,60000,Streetlight out,49.1
Elmwood,60000,Streetlight out,18.6
Elmwood,60000,Illegal dumping,55.0
Elmwood,60000,Water leak,20.8
Elmwood,60000,Water leak,31.3
Elmwood,60000,Pothole,15.5
Elmwood,60000,Water leak,19.8
Elmwood,60000,Streetlight out,25.4
Elmwood,60000,Graffiti,20.5
Elmwood,60000,Noise,19.8
Elmwood,60000,Water leak,32.9
Elmwood,60000,Pothole,24.9
Elmwood,60000,Graffiti,23.3
Elmwood,60000,Graffiti,36.1
Elmwood,60000,Illegal dumping,12.1
Elmwood,60000,Illegal dumping,21.7
Elmwood,60000,Noise,13.2
Elmwood,60000,Water leak,107.3
Elmwood,60000,Pothole,24.2
Elmwood,60000,Streetlight out,11.7
Elmwood,60000,Illegal dumping,25.5
Elmwood,60000,Pothole,26.7
Elmwood,60000,Streetlight out,15.3
Elmwood,60000,Streetlight out,36.8
Elmwood,60000,Noise,26.2
Elmwood,60000,Graffiti,25.0
Elmwood,60000,Noise,54.0
Elmwood,60000,Illegal dumping,18.5
Elmwood,60000,Graffiti,49.9
Elmwood,60000,Pothole,82.0
Stonebridge,15000,Graffiti,24.3
Stonebridge,15000,Pothole,17.6
Stonebridge,15000,Graffiti,54.0
Stonebridge,15000,Noise,67.8
Stonebridge,15000,Streetlight out,14.9
Stonebridge,15000,Noise,53.2
Stonebridge,15000,Water leak,14.0
Stonebridge,15000,Water leak,10.5
Stonebridge,15000,Streetlight out,21.2
Stonebridge,15000,Streetlight out,39.5
Stonebridge,15000,Noise,19.9
Stonebridge,15000,Graffiti,31.2
Stonebridge,15000,Water leak,26.1
Stonebridge,15000,Graffiti,26.9
Stonebridge,15000,Streetlight out,21.5
Stonebridge,15000,Streetlight out,12.4
Stonebridge,15000,Streetlight out,29.3
Stonebridge,15000,Graffiti,21.2
Stonebridge,15000,Graffiti,27.5
Stonebridge,15000,Water leak,58.6
Stonebridge,15000,Noise,40.5
Stonebridge,15000,Streetlight out,33.9
Stonebridge,15000,Pothole,21.1
Stonebridge,15000,Graffiti,41.7
Stonebridge,15000,Water leak,23.0
Stonebridge,15000,Water leak,19.6
Stonebridge,15000,Pothole,35.6
Stonebridge,15000,Streetlight out,16.0
Stonebridge,15000,Graffiti,26.9
Stonebridge,15000,Graffiti,19.4
