"maprojid","magencyacro","magencyname","typecategory","totalplannedcommit","commit_total","spent_total"
"057F192AES14","FDNY","Fire Department","ITT, Vehicles, and Equipment","391000","0","0"
"057F1-ARCS","FDNY","Fire Department","ITT, Vehicles, and Equipment","0","0","0"
"057F1-COMMS","FDNY","Fire Department","ITT, Vehicles, and Equipment","57345000","0","0"
"057F1FACEQMT","FDNY","Fire Department","ITT, Vehicles, and Equipment","0","0","0"
"057F1MORADIO","FDNY","Fire Department","ITT, Vehicles, and Equipment","1928000","6870859.81","22221101.76"
"850HWX410","DDC","Department of Design and Construction","Fixed Asset","94025000","5597000","0"
"057F1PHONEUP","FDNY","Fire Department","ITT, Vehicles, and Equipment","1015000","0","0"
"057F1TELEFLD","FDNY","Fire Department","ITT, Vehicles, and Equipment","600000","0","0"
"057F204CMPRS","FDNY","Fire Department","ITT, Vehicles, and Equipment","6931000","0","0"
"057F204TRAN2","FDNY","Fire Department","ITT, Vehicles, and Equipment","14548000","693482.59","1603556.82"
"850HLDN90NYU","DDC","Department of Design and Construction",,"0","0","0"
"801PASSSHIP4","SBS","Department of Small Business Services","Fixed Asset","167000","109791.94","5713205.32"
"057F212911TL","FDNY","Fire Department","ITT, Vehicles, and Equipment","500000","0","0"
"057F212EPCR2","FDNY","Fire Department","ITT, Vehicles, and Equipment","2119000","1777048","0"
"057F212HELTH","FDNY","Fire Department","ITT, Vehicles, and Equipment","1766000","461934.4","1287664.3"
"057F212LANUP","FDNY","Fire Department","ITT, Vehicles, and Equipment","71221000","0.00","231905.72"
"057F212PSAC2","FDNY","Fire Department","ITT, Vehicles, and Equipment","0","0","0"
"057F212-TECH","FDNY","Fire Department","ITT, Vehicles, and Equipment","0","0","0"
"057F253AMBLN","FDNY","Fire Department","ITT, Vehicles, and Equipment","0","0","0"
"057FD109AMPS","FDNY","Fire Department","ITT, Vehicles, and Equipment","180000","0","0"
"057FD109ASPV","FDNY","Fire Department","ITT, Vehicles, and Equipment","125000","0","0"
"057FD109BATT","FDNY","Fire Department","ITT, Vehicles, and Equipment","148000","3600.00","976757.72"
"057FD109BF16","FDNY","Fire Department","ITT, Vehicles, and Equipment","200000","0","0"
"801P-311RAND","SBS","Department of Small Business Services","Fixed Asset","15000","0.00","32392162.98"
"801P-6NEWYN1","SBS","Department of Small Business Services","Fixed Asset","91000","41881.68","160566471.61"
"846P-3MON369","DPR","Department of Parks and Recreation",,"0","0.00","125024.33"
"056PO79120AC","NYPD","Police Department","Fixed Asset","41000","2060897.88","396252.13"
"850HLDNTHEIN","DDC","Department of Design and Construction",,"174000","0.00","359931.27"
"846P-3PDTDRC","DPR","Department of Parks and Recreation","Fixed Asset","8008000","3502803.52","7421081.57"
"846SANDY5-42","DPR","Department of Parks and Recreation","Fixed Asset","0","0.00","205473.43"
"846SANDY5-43","DPR","Department of Parks and Recreation","Fixed Asset","13054000","595248.04","1428408.45"
"850HLDNWOMLE","DDC","Department of Design and Construction",,"205000","0","0"
"850HLDWFARMS","DDC","Department of Design and Construction",,"1146000","0","0"
"850HLKNRDCSR","DDC","Department of Design and Construction",,"6000","0","119048"
"850HLQNMOUNN","DDC","Department of Design and Construction",,"0","0","563902"
"057FD109BTRK","FDNY","Fire Department","ITT, Vehicles, and Equipment","250000","0","0"
"057FD109CMND","FDNY","Fire Department","ITT, Vehicles, and Equipment","1938000","0","0"
"057FD109CMON","FDNY","Fire Department","ITT, Vehicles, and Equipment","10000","198524","0"
"057FD109CPR","FDNY","Fire Department","ITT, Vehicles, and Equipment","46000","0.0","254107.8"
"057FD109DIV8","FDNY","Fire Department","ITT, Vehicles, and Equipment","75000","0","0"
"057FD109FVAN","FDNY","Fire Department","ITT, Vehicles, and Equipment","130000","0","0"
"057FD109LOG9","FDNY","Fire Department","ITT, Vehicles, and Equipment","180000","0","0"
"057FD109MCPR","FDNY","Fire Department","ITT, Vehicles, and Equipment","2000","0","177786"
"057FD109PICK","FDNY","Fire Department","ITT, Vehicles, and Equipment","210000","0","0"
"057FD109PTOR","FDNY","Fire Department","ITT, Vehicles, and Equipment","20000","0","91697"
"806MMI30","HPD","Housing Preservation and Development","Lump Sum","0","0","0"
"850MED-594","DDC","Department of Design and Construction","ITT, Vehicles, and Equipment","0","20106.40","805373.28"
"057FD109RBOT","FDNY","Fire Department","ITT, Vehicles, and Equipment","450000","442966.02","0"
"057FD109SIMS","FDNY","Fire Department","ITT, Vehicles, and Equipment","300000","0","0"
"850LNEA08MHV","DDC","Department of Design and Construction","Fixed Asset","1938000","190822.61","6295749.21"
"850MED-598B","DDC","Department of Design and Construction","ITT, Vehicles, and Equipment","809000","3079658.99","58850784.32"
"126PVNYTWEQ","DCLA","Department of Cultural Affairs","Fixed Asset","1000","0.00","92282.08"
"856PW77501EL","DCAS","Department of Citywide Administrative Services","Fixed Asset","0","180536.50","3557615.02"
"042MC036-016","CUNY","City University of New York","Fixed Asset","649000","0","0"
"850SANDY4-31","DDC","Department of Design and Construction","Fixed Asset","160000","160280.05","283763.95"
"856PWK2LEED","DCAS","Department of Citywide Administrative Services","Lump Sum","200000","0","0"
"042CA202MC01","CUNY","City University of New York","Fixed Asset","503000","6757.09","3899080.90"
"846P-3PIN181","DPR","Department of Parks and Recreation","Fixed Asset","138000","608743.37","130505.38"
"042MC028-010","CUNY","City University of New York","Fixed Asset","-109000","262357.27","10808588.30"
"850SOLARDOS2","DDC","Department of Design and Construction","Fixed Asset","2064000","38361.39","1426240.35"
"042MC024-008","CUNY","City University of New York","Fixed Asset","1521000","0.00","71955.31"
"801OHELFAM","SBS","Department of Small Business Services","Lump Sum","0","0.00","774295.44"
"042BY024-012","CUNY","City University of New York","Lump Sum","100000","0","0"
"042JJ021-015","CUNY","City University of New York","Fixed Asset","0","0","215000"
"81933201301","HHC","Health and Hospitals Corporation","Fixed Asset","27873000","1364814.43","3523101.05"
"042JJ022-016","CUNY","City University of New York","Lump Sum","0","0","60910"
"042JJ015-012","CUNY","City University of New York","ITT, Vehicles, and Equipment","340000","0","0"
"057FD109SIMU","FDNY","Fire Department","ITT, Vehicles, and Equipment","50000","0","1135400"
"057FD109SKID","FDNY","Fire Department","ITT, Vehicles, and Equipment","0","0","60575"
"126PV123NYLA","DCLA","Department of Cultural Affairs","ITT, Vehicles, and Equipment","0","0.00","147296.56"
"846P-503SSNC","DPR","Department of Parks and Recreation","Fixed Asset","-39000","0.00","68464.32"
"057FD109VHEL","FDNY","Fire Department","ITT, Vehicles, and Equipment","57000","0","0"
"057FD175D231","FDNY","Fire Department","ITT, Vehicles, and Equipment","200000","152145.48","0"
"826NR-STRUCT","DEP","Department of Environmental Protection","Fixed Asset","580113000","20477417.81","20013644.32"
"042HS055-098","CUNY","City University of New York","Fixed Asset","11000","0","507440"
"057FD175D325","FDNY","Fire Department","ITT, Vehicles, and Equipment","106000","0.00","94142.82"
"846P-4SAND01","DPR","Department of Parks and Recreation","Fixed Asset","0","19942.59","4490704.82"
"846P-3PL14A3","DPR","Department of Parks and Recreation","Fixed Asset","0","0.00","924388.76"
"850LNMA12WAS","DDC","Department of Design and Construction","Fixed Asset","0","0.00","5495927.83"
"850LNXA11WFM","DDC","Department of Design and Construction","Fixed Asset","945000","160226.38","1453881.90"
"846P-412LBRT","DPR","Department of Parks and Recreation",,"1018000","0","0"
"057FD175D326","FDNY","Fire Department","ITT, Vehicles, and Equipment","200000","0","0"
"057FD175G153","FDNY","Fire Department","ITT, Vehicles, and Equipment","1341000","1170999.18","148394.16"
"856PWMNYMHA","DCAS","Department of Citywide Administrative Services","Fixed Asset","0","0","0"
"057FD175G155","FDNY","Fire Department","ITT, Vehicles, and Equipment","1200000","78214.55","45672.93"
"057FD175G157","FDNY","Fire Department","ITT, Vehicles, and Equipment","410000","0","0"
"057FD175G158","FDNY","Fire Department","ITT, Vehicles, and Equipment","410000","0","0"
"057FD175G161","FDNY","Fire Department","ITT, Vehicles, and Equipment","14000","387601.51","496245.21"
"057FD175G165","FDNY","Fire Department","ITT, Vehicles, and Equipment","0","192842.34","898243.15"
"057FD175G246","FDNY","Fire Department","ITT, Vehicles, and Equipment","233000","745800.27","220722.82"
"057FD175G254","FDNY","Fire Department","ITT, Vehicles, and Equipment","1281000","1058822.49","100426.09"
"057FD175G295","FDNY","Fire Department","ITT, Vehicles, and Equipment","1097000","63136.73","39744.5"
"057FD175G301","FDNY","Fire Department","ITT, Vehicles, and Equipment","1200000","124733.37","0"
"057FD175G307","FDNY","Fire Department","ITT, Vehicles, and Equipment","980000","48240.71","32739.11"
"057FD175G318","FDNY","Fire Department","ITT, Vehicles, and Equipment","1200000","169296.77","0"
"057FD175G320","FDNY","Fire Department","ITT, Vehicles, and Equipment","1200000","61684.32","61670.66"
"057FD175GE16","FDNY","Fire Department","ITT, Vehicles, and Equipment","1097000","1044156.20","79092.3"
"057FD175GE40","FDNY","Fire Department","ITT, Vehicles, and Equipment","920000","125667.47","153660.88"
"057FD175GE74","FDNY","Fire Department","ITT, Vehicles, and Equipment","653000","2705.56","544229.23"
"057FD175GE89","FDNY","Fire Department","ITT, Vehicles, and Equipment","204000","898092.72","97160.66"
"057FD175GE95","FDNY","Fire Department","ITT, Vehicles, and Equipment","53000","92201.49","725445.98"
"057FD175GE96","FDNY","Fire Department","ITT, Vehicles, and Equipment","1089000","36797.59","73377.41"
"057FD175GE97","FDNY","Fire Department","ITT, Vehicles, and Equipment","1200000","123887.48","0"
"806MMI31","HPD","Housing Preservation and Development","Lump Sum","0","0","0"
"850PV176ROOF","DDC","Department of Design and Construction","Fixed Asset","0","0.00","3908330.67"
"801PUENTEWIL","SBS","Department of Small Business Services",,"7750000","0","0"
"801PWD99AERO","SBS","Department of Small Business Services",,"0","0","0"
"801PWDAGDTH","SBS","Department of Small Business Services",,"0","0","3140332"
"801PWDSIBPCT","SBS","Department of Small Business Services",,"49000","0","0"
"801QNSPLJACK","SBS","Department of Small Business Services",,"-126000","756.75","16034620.97"
"850HLDNSMARY","DDC","Department of Design and Construction","Fixed Asset","0","0","396098"
"850HLDNSTC61","DDC","Department of Design and Construction","ITT, Vehicles, and Equipment","0","0","50854"
"850HLDNTRANS","DDC","Department of Design and Construction","ITT, Vehicles, and Equipment","0","0","70410"
"850HLKNMAIMM","DDC","Department of Design and Construction","ITT, Vehicles, and Equipment","0","0","0"
"801PWDNMSJSC","SBS","Department of Small Business Services",,"513000","0","0"
"850HLQNBLOOD","DDC","Department of Design and Construction","ITT, Vehicles, and Equipment","0","0.00","379204.06"
"850HLQNFHH05","DDC","Department of Design and Construction","ITT, Vehicles, and Equipment","0","0","0"
"850HLREDNEW1","DDC","Department of Design and Construction","ITT, Vehicles, and Equipment","4000","0","35612"
"801PWDDAVI","SBS","Department of Small Business Services",,"18000","0.00","711259.34"
"846P-206RHBS","DPR","Department of Parks and Recreation","Fixed Asset","16979000","16385171.79","51171653.90"
"846P-206RHSF","DPR","Department of Parks and Recreation","Fixed Asset","7928000","17853311.14","5778730.33"
"846P-4CPICMA","DPR","Department of Parks and Recreation","Fixed Asset","0","0.00","2990419.31"
"806HAM21DYEL","HPD","Housing Preservation and Development","Fixed Asset","89000","1495154.00","4915156.82"
"801PWTOUROUN","SBS","Department of Small Business Services",,"500000","0","0"
"801QWESTB","SBS","Department of Small Business Services",,"0","0.00","53676165.98"
"801ROADNYC3","SBS","Department of Small Business Services",,"5046000","635188.06","4923811.94"
"846P-312ISA2","DPR","Department of Parks and Recreation","Fixed Asset","0","0.00","1064116.53"
"846P-312JHFA","DPR","Department of Parks and Recreation","Fixed Asset","135000","121607.44","180392.56"
"850PW357ELEV","DDC","Department of Design and Construction","Fixed Asset","431000","287537.52","7814310.11"
"806HAM15WSPL","HPD","Housing Preservation and Development","Fixed Asset","0","29709.89","209263.42"
"806HAM19ADEL","HPD","Housing Preservation and Development","Fixed Asset","341000","1490469.88","10228599.21"
"801SANDB4272","BNY","Brooklyn Navy Yard",,"6511000","309137","0"
"801SANDHPRXD","SBS","Department of Small Business Services",,"57739000","2871082.53","6116977.47"
"801SANDSIHP2","SBS","Department of Small Business Services",,"2526000","13454700.43","9660032.09"
"801SWBXLCN","SBS","Department of Small Business Services",,"306000","297207","197141"
"801TOTTENCBD","SBS","Department of Small Business Services",,"0","0.00","1158998.98"
"801VETMEM","SBS","Department of Small Business Services",,"4000000","0","0"
"801WCOMRES","SBS","Department of Small Business Services",,"865000","0","0"
"801WHITEPLRD","SBS","Department of Small Business Services",,"0","0","0"
"801WILLETPH2","SBS","Department of Small Business Services",,"212761000","78462877.28","47321122.72"
"801WILLETSEN","SBS","Department of Small Business Services",,"2628000","0.00","5329276.87"
"042YC035-011","CUNY","City University of New York","Fixed Asset","0","0.0","2971466.6"
"856PWD5BA1","DCAS","Department of Citywide Administrative Services","Fixed Asset","0","0","0"
"042YC051-015","CUNY","City University of New York","Fixed Asset","484000","0","0"
"801BAMSTRAND","SBS","Department of Small Business Services","Fixed Asset","0","0.00","35302341.04"
"801BAMSTRTS","SBS","Department of Small Business Services","Fixed Asset","255000","0.00","1441635.72"
"801BAMSOSITE","SBS","Department of Small Business Services","Fixed Asset","0","0.00","6557706.04"
"801BATFACAD2","SBS","Department of Small Business Services","Fixed Asset","0","0.00","514781.11"
"801BATIMPRO","SBS","Department of Small Business Services","Fixed Asset","9801000","3551203.53","15011518.87"
"846P-2PDBRC2","DPR","Department of Parks and Recreation","Fixed Asset","5912000","11920829.80","7990547.90"
"8067AVC32","HPD","Housing Preservation and Development",,"7391000","0","0"
"057FK109LSER","FDNY","Fire Department","ITT, Vehicles, and Equipment","150000","0","0"
"057FK109YWDI","FDNY","Fire Department","ITT, Vehicles, and Equipment","73000","1182","115533"
"057FK19CPOST","FDNY","Fire Department","ITT, Vehicles, and Equipment","1000000","0","0"
"057FM109BAMB","FDNY","Fire Department","ITT, Vehicles, and Equipment","109000","0.00","445756.39"
"057FQ109ASAP","FDNY","Fire Department","ITT, Vehicles, and Equipment","270000","0","0"
"057FQ109COMD","FDNY","Fire Department","ITT, Vehicles, and Equipment","1500000","0","0"
"806MPLP26","HPD","Housing Preservation and Development","Lump Sum","60759000","4706037.17","49288227.83"
"841HWQ1190","DOT","Department of Transportation","Fixed Asset","18963000","0","2066000"
"806MPLP27","HPD","Housing Preservation and Development","Lump Sum","15506000","0","0"
"801BAMTFANA","SBS","Department of Small Business Services","Fixed Asset","70000","123926.30","37748452.70"
"846P-2PEDPLZ","DPR","Department of Parks and Recreation","Fixed Asset","0","0.00","910702.20"
"806HAM18CDLC","HPD","Housing Preservation and Development",,"268934000","389464277.83","119567503.89"
"806HAM18COTV","HPD","Housing Preservation and Development",,"0","0","0"
"846P-4BWALK1","DPR","Department of Parks and Recreation","Lump Sum","0","105981.37","672815.39"
"042ST030-015","CUNY","City University of New York","Lump Sum","0","0.00","352048.15"
"846P-309P123","DPR","Department of Parks and Recreation","Fixed Asset","0","0.00","3474964.04"
"850LNMNA08LS","DDC","Department of Design and Construction","Lump Sum","669000","249227.25","7035003.83"
"057FQ109COUN","FDNY","Fire Department","ITT, Vehicles, and Equipment","0","0","0"
"057FQ109CREW","FDNY","Fire Department","ITT, Vehicles, and Equipment","300000","0","0"
"057FQ109EVOC","FDNY","Fire Department","ITT, Vehicles, and Equipment","44000","0","355500"
"850HED-553","DDC","Department of Design and Construction","ITT, Vehicles, and Equipment","0","1743160.17","58959897.24"
"042ST032-015","CUNY","City University of New York","Fixed Asset","0","0.00","457735.32"
"039LQD122LFE","QPL","Queens Borough Public Library","ITT, Vehicles, and Equipment","50000","0","0"
"846PV510-IRR","DPR","Department of Parks and Recreation","Fixed Asset","190000","0.00","780314.18"
"057FQ109GATR","FDNY","Fire Department","ITT, Vehicles, and Equipment","150000","0","0"
"057FQ109LOGI","FDNY","Fire Department","ITT, Vehicles, and Equipment","100000","0","0"
"042ST031-015","CUNY","City University of New York","Fixed Asset","0","0.00","3083654.31"
"846P-3PL14A6","DPR","Department of Parks and Recreation","Fixed Asset","11117000","25116.51","424883.49"
"846P-3PL16A1","DPR","Department of Parks and Recreation","Fixed Asset","0","41504.49","202289.75"
"846P-4EABTRC","DPR","Department of Parks and Recreation",,"0","0","1001250"
"846P-4SAND03","DPR","Department of Parks and Recreation","Fixed Asset","0","0.0","779959.6"
"042HS040-009","CUNY","City University of New York","Fixed Asset","1000","0","0"
"856PWK2MEDIA","DCAS","Department of Citywide Administrative Services","Fixed Asset","0","70000.00","1379973.69"
"846P-3LPLZCG","DPR","Department of Parks and Recreation","Fixed Asset","1000","46737.73","216551.46"
"057FQ109MRNE","FDNY","Fire Department","ITT, Vehicles, and Equipment","50000","50000","0"
"057FQ109PS50","FDNY","Fire Department","ITT, Vehicles, and Equipment","115000","0","0"
"057FQ109RBOT","FDNY","Fire Department","ITT, Vehicles, and Equipment","350000","0","0"
"057FQ109TBLE","FDNY","Fire Department","ITT, Vehicles, and Equipment","450000","0","0"
"057FR109BF26","FDNY","Fire Department","ITT, Vehicles, and Equipment","400000","0","0"
"057FR109STRM","FDNY","Fire Department","ITT, Vehicles, and Equipment","0","0","0"
"801YWASHEIEQ","SBS","Department of Small Business Services","Lump Sum","1370000","0","0"
"846P-2PLG13A","DPR","Department of Parks and Recreation","Fixed Asset","0","0.00","86138.79"
"806HAM18THGR","HPD","Housing Preservation and Development",,"2000","0","497778"
"806HAM18URBF","HPD","Housing Preservation and Development",,"120000","0","0"
"806HAM19MHSE","HPD","Housing Preservation and Development",,"0","2143.41","68080.06"
"846P-312MJM2","DPR","Department of Parks and Recreation","Fixed Asset","71000","0.00","1783537.23"
"806HAM24RAIS","HPD","Housing Preservation and Development",,"0","0","0"
"806HAM25POLO","HPD","Housing Preservation and Development",,"0","0","0"
"806HAM25TCSE","HPD","Housing Preservation and Development",,"294000","0","0"
"057FR175G166","FDNY","Fire Department","ITT, Vehicles, and Equipment","23000","212543.05","890502.07"
"057FX109BV15","FDNY","Fire Department","ITT, Vehicles, and Equipment","186000","0","0"
"806KRHEINS","HPD","Housing Preservation and Development",,"500000","0","7000000"
"057FX175GE42","FDNY","Fire Department","ITT, Vehicles, and Equipment","52000","150550.79","808152.40"
"057SANDCNEQP","FDNY","Fire Department","ITT, Vehicles, and Equipment","3769000","494086.31","3866731.89"
"057SANDCNITC","FDNY","Fire Department","ITT, Vehicles, and Equipment","275000","6250.8","1195841.4"
"801DMECODOCK","SBS","Department of Small Business Services","Fixed Asset","0","0","0"
"806MPLP28","HPD","Housing Preservation and Development","Lump Sum","16126000","0","0"
"801ERVRWALL","SBS","Department of Small Business Services","Fixed Asset","1000","49723.87","2948080.46"
"841BRC156F","DOT","Department of Transportation","Fixed Asset","0","4650002.25","122647663.30"
"806HMFIRST28","HPD","Housing Preservation and Development",,"18000000","0","0"
"806HMFIRST29","HPD","Housing Preservation and Development",,"18000000","0","0"
"806HMFIRST30","HPD","Housing Preservation and Development",,"9000000","0","0"
"806HMFIRST31","HPD","Housing Preservation and Development",,"9000000","0","0"
"806HMFIRST32","HPD","Housing Preservation and Development",,"9000000","0","0"
"806HMFIRST33","HPD","Housing Preservation and Development",,"9000000","0","0"
"042ST035-016","CUNY","City University of New York","Fixed Asset","0","0.00","65328.78"
"042BX038-016","CUNY","City University of New York","Fixed Asset","166000","1244988","0"
"057SANDCNMAT","FDNY","Fire Department","ITT, Vehicles, and Equipment","647000","184781.15","17367548.91"
"068850THRDIT","ACS","Administration for Children's Services","ITT, Vehicles, and Equipment","502000","0","0"
"806MPLP29","HPD","Housing Preservation and Development","Lump Sum","16771000","0","0"
"126PV464SITE","DCLA","Department of Cultural Affairs","Fixed Asset","3699000","0","0"
"042HS007-010","CUNY","City University of New York","Fixed Asset","173000","0.00","118412.31"
"806HOMEFIX35","HPD","Housing Preservation and Development",,"3856000","0","0"
"806LEADPPP21","HPD","Housing Preservation and Development",,"0","994056.50","3458841.83"
"806LEADPPP25","HPD","Housing Preservation and Development",,"532000","252389","894208"
"806MFPRES","HPD","Housing Preservation and Development",,"0","0","106161095"
"806MHANYANCP","HPD","Housing Preservation and Development",,"500000","0","0"
"125AGSNPVH","DFTA","Department for the Aging","ITT, Vehicles, and Equipment","257000","0","0"
"072SANDVCBC","DOC","Department of Correction","Fixed Asset","2851000","32184.38","282415.82"
"806N51HILLSD","HPD","Housing Preservation and Development",,"800000","0","0"
"806NBAXTER","HPD","Housing Preservation and Development",,"1250000","0","0"
"806NBEACON","HPD","Housing Preservation and Development",,"2000000","0","0"
"806NBELMCLT","HPD","Housing Preservation and Development",,"3350000","0","0"
"806NBROWNS","HPD","Housing Preservation and Development",,"1350000","0","0"
"806NCOLORSBK","HPD","Housing Preservation and Development",,"500000","0","0"
"806NDAIRY","HPD","Housing Preservation and Development",,"1000000","0","0"
"806NFORDLUTH","HPD","Housing Preservation and Development",,"1000000","0","0"
"806NGODIAN","HPD","Housing Preservation and Development",,"1000000","0","0"
"806NGOWANUSG","HPD","Housing Preservation and Development",,"9500000","0","0"
"806NHCCIHRLM","HPD","Housing Preservation and Development",,"250000","0","0"
"042BX014-091","CUNY","City University of New York","Fixed Asset","0","0.00","6840130.50"
"856PW2931C","DCAS","Department of Citywide Administrative Services","Fixed Asset","0","0","86417"
"846SANDY6-07","DPR","Department of Parks and Recreation","Fixed Asset","0","8461.99","1196411.18"
"806MPLP30","HPD","Housing Preservation and Development","Lump Sum","17442000","0","0"
"801SIBULK","SBS","Department of Small Business Services","Fixed Asset","11870000","3935778.80","480964.00"
"806NMASPETH","HPD","Housing Preservation and Development",,"1500000","0","1700000"
"801SIESPLAND","SBS","Department of Small Business Services","Fixed Asset","2782000","0.76","6387149.35"
"856PW77LYAFE","DCAS","Department of Citywide Administrative Services","Fixed Asset","2009000","0","0"
"806NMHANYENY","HPD","Housing Preservation and Development",,"1500000","0","0"
"806NMYRTLE","HPD","Housing Preservation and Development",,"1000000","0","0"
"806NMHEIGHTS","HPD","Housing Preservation and Development",,"0","0","1125000"
"806NVERNON","HPD","Housing Preservation and Development",,"650000","0","2000000"
"806NJAMSR","HPD","Housing Preservation and Development",,"1500000","0","0"
"806NNORMAHOP","HPD","Housing Preservation and Development",,"2650000","0","0"
"806NOCEANC","HPD","Housing Preservation and Development",,"2500000","0","2500000"
"806NRHEINSR","HPD","Housing Preservation and Development",,"600000","0","0"
"806NRUTLAND","HPD","Housing Preservation and Development",,"500000","0","0"
"806NSPOFFORD","HPD","Housing Preservation and Development",,"5000000","0","5800000"
"806NTIMBALE","HPD","Housing Preservation and Development",,"1300000","0","1300000"
"806NTWF","HPD","Housing Preservation and Development",,"2900000","0","0"
"806PACT25","HPD","Housing Preservation and Development",,"-8653000","0","626405581"
"806PACT26","HPD","Housing Preservation and Development",,"1270834000","0","727363623"
"806PACT27","HPD","Housing Preservation and Development",,"1012114000","0","0"
"806R125W96","HPD","Housing Preservation and Development",,"125000","0","0"
"806R129W133","HPD","Housing Preservation and Development",,"500000","0","0"
"806R613NLOTS","HPD","Housing Preservation and Development",,"1000000","0","0"
"806R7133RD","HPD","Housing Preservation and Development",,"500000","0","0"
"806R89CARLTN","HPD","Housing Preservation and Development",,"1749000","0","0"
"806R90SANDS","HPD","Housing Preservation and Development",,"2500000","0","2000000"
"81942201301","HHC","Health and Hospitals Corporation","Fixed Asset","495000","0","0"
"038LBC16RHIT","BPL","Brooklyn Public Library","Fixed Asset","200000","0","0"
"856PWM77FJC","DCAS","Department of Citywide Administrative Services","Fixed Asset","314000","338894.75","8318569.79"
"841HWR920","DOT","Department of Transportation","Fixed Asset","500000","0","0"
"846P-407FLPT","DPR","Department of Parks and Recreation","Fixed Asset","0","4187.11","1441889.18"
"068ACCISREPL","ACS","Administration for Children's Services","ITT, Vehicles, and Equipment","0","0","0"
"068ACSDCENTR","ACS","Administration for Children's Services","ITT, Vehicles, and Equipment","4116000","153827.14","2634541.68"
"068ACSFMS","ACS","Administration for Children's Services","ITT, Vehicles, and Equipment","0","122203.00","1441183.82"
"068ACSNETSEC","ACS","Administration for Children's Services","ITT, Vehicles, and Equipment","0","0","278621"
"068ADAMST","ACS","Administration for Children's Services","ITT, Vehicles, and Equipment","3920000","0","0"
"801SIHOMEPT","SBS","Department of Small Business Services","Fixed Asset","252000","224872.35","118031.67"
"806RBUFNYLGW","HPD","Housing Preservation and Development",,"1950000","0","0"
"806RELCEMI","HPD","Housing Preservation and Development",,"600000","0","0"
"806RENCORE49","HPD","Housing Preservation and Development",,"1470000","0","0"
"806RFIND","HPD","Housing Preservation and Development",,"250000","0","0"
"806RFRIEDMAN","HPD","Housing Preservation and Development",,"947000","0","0"
"806RGREENE","HPD","Housing Preservation and Development",,"150000","0","0"
"806RJOE","HPD","Housing Preservation and Development",,"200000","0","1990000"
"806RJOEUP","HPD","Housing Preservation and Development",,"1350000","0","0"
"806RLESANCP","HPD","Housing Preservation and Development",,"500000","0","0"
"806RLOSSURES","HPD","Housing Preservation and Development",,"500000","0","0"
"068ADAMSTIT","ACS","Administration for Children's Services","ITT, Vehicles, and Equipment","1011000","282049.62","500336.38"
"068ADMSEC","ACS","Administration for Children's Services","ITT, Vehicles, and Equipment","334000","0","0"
"068ARCHIBUS","ACS","Administration for Children's Services","ITT, Vehicles, and Equipment","1908000","1876606","0"
"068BKMTCITEQ","ACS","Administration for Children's Services","ITT, Vehicles, and Equipment","334000","190419.74","1462590.12"
"068BMSYST","ACS","Administration for Children's Services","ITT, Vehicles, and Equipment","7723000","0","0"
"801PV230-ACF","SBS","Department of Small Business Services","Fixed Asset","10000","1289935.67","8848064.33"
"056PO7911FR","NYPD","Police Department","Fixed Asset","193000","838688.82","5018254.31"
"846P-501MMRP","DPR","Department of Parks and Recreation",,"8845000","306956.22","16369.78"
"801PV264HART","SBS","Department of Small Business Services",,"-16000","0.00","22132061.18"
"801PV463ABC2","SBS","Department of Small Business Services","Fixed Asset","4376000","7475497.49","11399473.61"
"846P-3FFAGAN","DPR","Department of Parks and Recreation","Fixed Asset","0","0.00","1786323.05"
"846P-503SOUT","DPR","Department of Parks and Recreation",,"0","0","0"
"846P-5BOYLND","DPR","Department of Parks and Recreation",,"0","0","0"
"841BKBRDGCAM","DOT","Department of Transportation","ITT, Vehicles, and Equipment","0","34844.58","8843921.86"
"846P-3PLG13B","DPR","Department of Parks and Recreation","Fixed Asset","117000","259628.64","1360914.97"
"846P-5NWDROP","DPR","Department of Parks and Recreation",,"0","0","0"
"846P-5SNUGLL","DPR","Department of Parks and Recreation",,"780000","0","0"
"068CAS","ACS","Administration for Children's Services","ITT, Vehicles, and Equipment","0","11908.00","1279328.34"
"068DATAPROT","ACS","Administration for Children's Services","ITT, Vehicles, and Equipment","1000","0","869926"
"068DATAWRHS","ACS","Administration for Children's Services","ITT, Vehicles, and Equipment","5580000","0.00","2229404.77"
"068EHRS","ACS","Administration for Children's Services","ITT, Vehicles, and Equipment","1772000","4192.65","2565495.35"
"068ENCRYPTAS","ACS","Administration for Children's Services","ITT, Vehicles, and Equipment","0","363.14","526266.86"
"068GENETEC","ACS","Administration for Children's Services","ITT, Vehicles, and Equipment","4999000","0","0"
"068HRPSBSYST","ACS","Administration for Children's Services","ITT, Vehicles, and Equipment","5206000","726825.92","3541403.08"
"068IVRGENESY","ACS","Administration for Children's Services","ITT, Vehicles, and Equipment","5185000","1785034.10","675521.5"
"068JDSECSYC","ACS","Administration for Children's Services","ITT, Vehicles, and Equipment","3950000","0","0"
"068JDSECSYH","ACS","Administration for Children's Services","ITT, Vehicles, and Equipment","3950000","0","0"
"068JJFLEET","ACS","Administration for Children's Services","ITT, Vehicles, and Equipment","295000","0.0","2286224.7"
"068JSA61BWIT","ACS","Administration for Children's Services","ITT, Vehicles, and Equipment","399000","22339.69","626769.22"
"068NETCORE","ACS","Administration for Children's Services","ITT, Vehicles, and Equipment","0","0.04","4816075.63"
