contact_date,county,state,gender,age_range,level_1_classification,needs_met
2023-10-20,Allegheny County,PA,F,45 to 64,Basic Needs,t
2023-10-20,Allegheny County,PA,F,45 to 64,Basic Needs,t
2023-10-20,Allegheny County,PA,F,45 to 64,Basic Needs,t
2023-10-20,Allegheny County,PA,F,45 to 64,Basic Needs,t
2023-10-20,Allegheny County,PA,F,45 to 64,Basic Needs,t
2023-10-20,Allegheny County,PA,F,45 to 64,Basic Needs,t
2023-10-20,Allegheny County,PA,F,45 to 64,Consumer Services,t
2023-10-20,Allegheny County,PA,F,45 to 64,Consumer Services,t
2023-10-20,Allegheny County,PA,F,45 to 64,Consumer Services,t
2023-10-20,Allegheny County,PA,F,45 to 64,Criminal Justice and Legal Services,t
2023-10-20,Allegheny County,PA,F,45 to 64,Criminal Justice and Legal Services,t
2023-10-20,Allegheny County,PA,F,45 to 64,Criminal Justice and Legal Services,t
2023-10-20,Allegheny County,PA,F,45 to 64,Criminal Justice and Legal Services,t
2023-10-20,Allegheny County,PA,F,45 to 64,Criminal Justice and Legal Services,t
2023-10-20,Allegheny County,PA,F,45 to 64,Income Support and Employment,t
2023-10-20,Allegheny County,PA,F,45 to 64,Income Support and Employment,t
2023-10-20,Allegheny County,PA,F,45 to 64,Income Support and Employment,t
2023-10-20,Allegheny County,PA,F,45 to 64,Income Support and Employment,t
2023-10-20,Allegheny County,PA,F,45 to 64,Income Support and Employment,t
2023-10-20,Allegheny County,PA,F,45 to 64,Income Support and Employment,t
2023-10-20,Allegheny County,PA,F,45 to 64,Income Support and Employment,t
2023-10-20,Allegheny County,PA,F,45 to 64,Income Support and Employment,t
2023-10-20,Allegheny County,PA,F,45 to 64,Income Support and Employment,t
2023-10-20,Allegheny County,PA,F,45 to 64,Income Support and Employment,t
2023-10-20,Allegheny County,PA,F,45 to 64,Individual and Family Life,t
2023-10-20,Allegheny County,PA,F,45 to 64,Individual and Family Life,t
2023-10-20,Allegheny County,PA,F,45 to 64,Individual and Family Life,t
2023-10-20,Allegheny County,PA,F,65 and over,Basic Needs,t
2023-10-20,Allegheny County,PA,F,65 and over,Basic Needs,t
2023-10-20,Allegheny County,PA,F,65 and over,Basic Needs,t
2023-10-20,Allegheny County,PA,F,65 and over,Basic Needs,t
2023-10-20,Allegheny County,PA,F,65 and over,Basic Needs,t
2023-10-20,Allegheny County,PA,F,65 and over,Basic Needs,t
2023-10-20,Allegheny County,PA,F,65 and over,Basic Needs,t
2023-10-20,Allegheny County,PA,F,65 and over,Basic Needs,t
2023-10-20,Allegheny County,PA,F,65 and over,Basic Needs,t
2023-10-20,Allegheny County,PA,F,65 and over,Individual and Family Life,t
2023-10-20,Allegheny County,PA,F,65 and over,Individual and Family Life,t
2023-10-20,Allegheny County,PA,F,65 and over,Individual and Family Life,t
2023-10-20,Allegheny County,PA,F,65 and over,Individual and Family Life,t
2023-10-20,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-10-20,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-10-20,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-10-20,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-10-20,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-10-20,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-10-20,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-10-20,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-10-20,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-10-20,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-10-20,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-10-20,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-10-20,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-10-20,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-10-20,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-10-20,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-10-20,Allegheny County,PA,M,25 to 44,Income Support and Employment,t
2023-10-20,Allegheny County,PA,M,25 to 44,Income Support and Employment,t
2023-10-20,Allegheny County,PA,M,25 to 44,Income Support and Employment,t
2023-10-20,Allegheny County,PA,M,25 to 44,Income Support and Employment,t
2023-10-20,Allegheny County,PA,M,45 to 64,Basic Needs,t
2023-10-20,Allegheny County,PA,M,45 to 64,Basic Needs,t
2023-10-20,Allegheny County,PA,M,45 to 64,Basic Needs,t
2023-10-20,Allegheny County,PA,M,45 to 64,Basic Needs,t
2023-10-20,Allegheny County,PA,M,45 to 64,Basic Needs,t
2023-10-20,Allegheny County,PA,M,45 to 64,Basic Needs,t
2023-10-20,Allegheny County,PA,M,45 to 64,Basic Needs,t
2023-10-20,Allegheny County,PA,M,45 to 64,Basic Needs,t
2023-10-20,Allegheny County,PA,M,45 to 64,Basic Needs,t
2023-10-20,Allegheny County,PA,M,45 to 64,Basic Needs,t
2023-10-20,Allegheny County,PA,M,45 to 64,Basic Needs,t
2023-10-20,Allegheny County,PA,M,45 to 64,Basic Needs,t
2023-10-20,Allegheny County,PA,M,45 to 64,Basic Needs,t
2023-10-20,Allegheny County,PA,M,45 to 64,Basic Needs,t
2023-10-20,Allegheny County,PA,M,45 to 64,Basic Needs,t
2023-10-20,Allegheny County,PA,M,45 to 64,Basic Needs,t
2023-10-20,Allegheny County,PA,M,45 to 64,Basic Needs,t
2023-10-20,Allegheny County,PA,M,45 to 64,Basic Needs,t
2023-10-20,Allegheny County,PA,M,45 to 64,Basic Needs,t
2023-10-20,Allegheny County,PA,M,45 to 64,Basic Needs,t
2023-10-20,Allegheny County,PA,M,45 to 64,Criminal Justice and Legal Services,t
2023-10-20,Allegheny County,PA,M,45 to 64,Criminal Justice and Legal Services,t
2023-10-20,Allegheny County,PA,M,45 to 64,Criminal Justice and Legal Services,t
2023-10-20,Allegheny County,PA,M,45 to 64,Income Support and Employment,t
2023-10-20,Allegheny County,PA,M,45 to 64,Income Support and Employment,t
2023-10-20,Allegheny County,PA,M,45 to 64,Individual and Family Life,t
2023-10-20,Allegheny County,PA,M,65 and over,Basic Needs,t
2023-10-20,Allegheny County,PA,M,65 and over,Basic Needs,t
2023-10-20,Allegheny County,PA,M,65 and over,Basic Needs,t
2023-10-20,Allegheny County,PA,M,65 and over,Basic Needs,t
2023-10-20,Allegheny County,PA,M,65 and over,Basic Needs,t
2023-10-20,Allegheny County,PA,M,65 and over,Basic Needs,t
2023-10-20,Allegheny County,PA,M,65 and over,Basic Needs,t
2023-10-20,Allegheny County,PA,M,65 and over,Basic Needs,t
2023-10-20,Allegheny County,PA,M,65 and over,Basic Needs,t
2023-10-20,Allegheny County,PA,M,65 and over,Basic Needs,t
2023-10-20,Allegheny County,PA,M,65 and over,Basic Needs,t
2023-10-20,Armstrong County,PA,F,45 to 64,Basic Needs,t
2023-10-20,Armstrong County,PA,F,45 to 64,Basic Needs,t
2023-10-20,Armstrong County,PA,F,45 to 64,Income Support and Employment,t
2023-10-20,Beaver County,PA,F,25 to 44,Basic Needs,t
2023-10-20,Beaver County,PA,F,25 to 44,Basic Needs,t
2023-10-20,Beaver County,PA,F,25 to 44,Basic Needs,t
2023-10-20,Beaver County,PA,F,45 to 64,Basic Needs,t
2023-10-20,Beaver County,PA,F,45 to 64,Basic Needs,t
2023-10-20,Beaver County,PA,F,45 to 64,Basic Needs,t
2023-10-20,Beaver County,PA,F,45 to 64,Basic Needs,t
2023-10-20,Beaver County,PA,F,45 to 64,Basic Needs,t
2023-10-20,Beaver County,PA,F,45 to 64,Basic Needs,t
2023-10-20,Beaver County,PA,M,25 to 44,Basic Needs,t
2023-10-20,Beaver County,PA,M,25 to 44,Basic Needs,t
2023-10-20,Beaver County,PA,M,25 to 44,Basic Needs,t
2023-10-20,Beaver County,PA,M,25 to 44,Basic Needs,t
2023-10-20,Beaver County,PA,M,25 to 44,Basic Needs,t
2023-10-20,Butler County,PA,F,45 to 64,Basic Needs,t
2023-10-20,Cambria County,PA,,,Basic Needs,t
2023-10-20,Cambria County,PA,F,25 to 44,Basic Needs,t
2023-10-20,Cambria County,PA,F,25 to 44,Basic Needs,t
2023-10-20,Cambria County,PA,F,25 to 44,Basic Needs,t
2023-10-20,Cambria County,PA,F,25 to 44,Basic Needs,t
2023-10-20,Cambria County,PA,F,25 to 44,Basic Needs,t
2023-10-20,Cambria County,PA,F,25 to 44,Income Support and Employment,t
2023-10-20,Cambria County,PA,F,25 to 44,Income Support and Employment,t
2023-10-20,Cambria County,PA,F,25 to 44,Income Support and Employment,t
2023-10-20,Cambria County,PA,F,25 to 44,Income Support and Employment,t
2023-10-20,Cambria County,PA,F,25 to 44,Income Support and Employment,t
2023-10-20,Cambria County,PA,F,25 to 44,Income Support and Employment,t
2023-10-20,Cambria County,PA,F,25 to 44,Income Support and Employment,t
2023-10-20,Cambria County,PA,M,25 to 44,Basic Needs,t
2023-10-20,Cambria County,PA,M,25 to 44,Basic Needs,t
2023-10-20,Cambria County,PA,M,25 to 44,Basic Needs,t
2023-10-20,Cambria County,PA,M,25 to 44,Basic Needs,t
2023-10-20,Cambria County,PA,M,25 to 44,Basic Needs,t
2023-10-20,Cambria County,PA,M,25 to 44,Basic Needs,t
2023-10-20,Cambria County,PA,M,25 to 44,Basic Needs,t
2023-10-20,Cambria County,PA,M,25 to 44,Income Support and Employment,t
2023-10-20,Cambria County,PA,M,25 to 44,Income Support and Employment,t
2023-10-20,Cambria County,PA,M,25 to 44,Income Support and Employment,t
2023-10-20,Cambria County,PA,M,25 to 44,Income Support and Employment,t
2023-10-20,Crawford County,PA,M,25 to 44,Basic Needs,t
2023-10-20,Crawford County,PA,M,25 to 44,Basic Needs,t
2023-10-20,Erie County,PA,F,18 to 24,Basic Needs,t
2023-10-20,Erie County,PA,F,18 to 24,Basic Needs,t
2023-10-20,Erie County,PA,F,18 to 24,Basic Needs,t
2023-10-20,Erie County,PA,F,45 to 64,Basic Needs,t
2023-10-20,Erie County,PA,F,45 to 64,Criminal Justice and Legal Services,t
2023-10-20,Erie County,PA,F,45 to 64,Income Support and Employment,t
2023-10-20,Erie County,PA,M,25 to 44,Basic Needs,t
2023-10-20,Erie County,PA,M,25 to 44,Basic Needs,t
2023-10-20,Erie County,PA,M,25 to 44,Organizational/Community/International Services,t
2023-10-20,Fayette County,PA,F,25 to 44,Basic Needs,t
2023-10-20,Fayette County,PA,F,25 to 44,Basic Needs,t
2023-10-20,Fayette County,PA,F,25 to 44,Basic Needs,t
2023-10-20,Fayette County,PA,F,25 to 44,Basic Needs,t
2023-10-20,Fayette County,PA,M,65 and over,Basic Needs,t
2023-10-20,Fayette County,PA,M,65 and over,Basic Needs,t
2023-10-20,Indiana County,PA,F,18 to 24,Basic Needs,t
2023-10-20,Indiana County,PA,F,18 to 24,Basic Needs,t
2023-10-20,Indiana County,PA,F,18 to 24,Basic Needs,t
2023-10-20,Indiana County,PA,F,18 to 24,Basic Needs,t
2023-10-20,Venango County,PA,,45 to 64,Basic Needs,t
2023-10-20,Venango County,PA,,45 to 64,Basic Needs,t
2023-10-20,Venango County,PA,,45 to 64,Basic Needs,t
2023-10-20,Venango County,PA,,45 to 64,Basic Needs,t
2023-10-20,Venango County,PA,,45 to 64,Basic Needs,t
2023-10-20,Venango County,PA,,45 to 64,Basic Needs,t
2023-10-20,Venango County,PA,,45 to 64,Basic Needs,t
2023-10-20,Venango County,PA,,45 to 64,Basic Needs,t
2023-10-20,Venango County,PA,,45 to 64,Basic Needs,t
2023-10-20,Venango County,PA,,45 to 64,Basic Needs,t
2023-10-20,Venango County,PA,,45 to 64,Basic Needs,t
2023-10-20,Venango County,PA,,45 to 64,Basic Needs,t
2023-10-20,Venango County,PA,,45 to 64,Basic Needs,t
2023-10-20,Venango County,PA,,45 to 64,Basic Needs,t
2023-10-20,Venango County,PA,,45 to 64,Basic Needs,t
2023-10-20,Venango County,PA,,45 to 64,Basic Needs,t
2023-10-20,Venango County,PA,,45 to 64,Basic Needs,t
2023-10-20,Venango County,PA,,45 to 64,Basic Needs,t
2023-10-20,Venango County,PA,,45 to 64,Basic Needs,t
2023-10-20,Venango County,PA,,45 to 64,Basic Needs,t
2023-10-20,Venango County,PA,,45 to 64,Basic Needs,t
2023-10-20,Venango County,PA,M,25 to 44,Basic Needs,t
2023-10-20,Venango County,PA,M,25 to 44,Basic Needs,t
2023-10-20,Venango County,PA,M,25 to 44,Basic Needs,t
2023-10-20,Venango County,PA,M,25 to 44,Basic Needs,t
2023-10-20,Venango County,PA,M,25 to 44,Mental Health and Substance Use Disorder Services,t
2023-10-20,Venango County,PA,M,25 to 44,Mental Health and Substance Use Disorder Services,t
2023-10-20,Venango County,PA,M,25 to 44,Mental Health and Substance Use Disorder Services,t
2023-10-20,Warren County,PA,M,45 to 64,Basic Needs,t
2023-10-20,Warren County,PA,M,45 to 64,Basic Needs,t
2023-10-20,Warren County,PA,M,45 to 64,Basic Needs,t
2023-10-20,Warren County,PA,M,45 to 64,Basic Needs,t
2023-10-20,Warren County,PA,M,45 to 64,Basic Needs,t
2023-10-20,Washington County,PA,,25 to 44,Basic Needs,t
2023-10-20,Washington County,PA,,25 to 44,Basic Needs,t
2023-10-20,Washington County,PA,,25 to 44,Basic Needs,t
2023-10-20,Westmoreland County,PA,F,,Basic Needs,t
2023-10-20,Westmoreland County,PA,F,,Basic Needs,t
2023-10-20,Westmoreland County,PA,F,18 to 24,Basic Needs,t
2023-10-20,Westmoreland County,PA,F,18 to 24,Basic Needs,t
2023-10-20,Westmoreland County,PA,F,18 to 24,Basic Needs,t
2023-10-20,Westmoreland County,PA,F,18 to 24,Basic Needs,t
2023-10-20,Westmoreland County,PA,F,18 to 24,Basic Needs,t
2023-10-20,Westmoreland County,PA,F,18 to 24,Basic Needs,t
2023-10-20,Westmoreland County,PA,F,18 to 24,Basic Needs,t
2023-10-20,Westmoreland County,PA,F,25 to 44,Basic Needs,t
2023-10-20,Westmoreland County,PA,F,25 to 44,Basic Needs,t
2023-10-20,Westmoreland County,PA,F,25 to 44,Basic Needs,t
2023-10-20,Westmoreland County,PA,F,25 to 44,Basic Needs,t
2023-10-20,Westmoreland County,PA,F,25 to 44,Basic Needs,t
2023-10-20,Westmoreland County,PA,F,25 to 44,Basic Needs,t
2023-10-20,Westmoreland County,PA,F,25 to 44,Basic Needs,t
2023-10-20,Westmoreland County,PA,F,25 to 44,Basic Needs,t
2023-10-20,Westmoreland County,PA,F,25 to 44,Basic Needs,t
2023-10-20,Westmoreland County,PA,F,25 to 44,Basic Needs,t
2023-10-20,Westmoreland County,PA,F,25 to 44,Basic Needs,t
2023-10-20,Westmoreland County,PA,F,25 to 44,Basic Needs,t
2023-10-20,Westmoreland County,PA,F,45 to 64,Basic Needs,t
2023-10-20,Westmoreland County,PA,F,45 to 64,Basic Needs,t
2023-10-20,Westmoreland County,PA,F,45 to 64,Basic Needs,t
2023-10-20,Westmoreland County,PA,F,45 to 64,Basic Needs,t
2023-10-20,Westmoreland County,PA,F,45 to 64,Basic Needs,t
2023-10-20,Westmoreland County,PA,F,45 to 64,Criminal Justice and Legal Services,t
2023-10-20,Westmoreland County,PA,F,45 to 64,Criminal Justice and Legal Services,t
2023-10-20,Westmoreland County,PA,F,45 to 64,Organizational/Community/International Services,t
2023-10-20,Westmoreland County,PA,F,65 and over,Basic Needs,t
2023-10-20,Westmoreland County,PA,F,65 and over,Basic Needs,t
2023-10-20,Westmoreland County,PA,F,65 and over,Basic Needs,t
2023-10-20,Westmoreland County,PA,F,65 and over,Basic Needs,t
2023-10-20,Westmoreland County,PA,F,65 and over,Basic Needs,t
2023-10-20,Westmoreland County,PA,M,25 to 44,Basic Needs,t
2023-10-20,Westmoreland County,PA,M,25 to 44,Basic Needs,t
2023-10-20,Westmoreland County,PA,M,25 to 44,Basic Needs,t
2023-10-20,Westmoreland County,PA,M,25 to 44,Basic Needs,t
2023-10-21,Allegheny County,PA,F,18 to 24,Basic Needs,t
2023-10-21,Allegheny County,PA,F,18 to 24,Basic Needs,t
2023-10-21,Allegheny County,PA,F,18 to 24,Basic Needs,t
2023-10-21,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-10-21,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-10-21,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-10-21,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-10-21,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-10-21,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-10-21,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-10-21,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-10-21,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-10-21,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-10-21,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-10-21,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-10-21,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-10-21,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-10-21,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-10-21,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-10-21,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-10-21,Allegheny County,PA,F,25 to 44,Income Support and Employment,t
2023-10-21,Allegheny County,PA,F,25 to 44,Income Support and Employment,t
2023-10-21,Allegheny County,PA,F,25 to 44,Individual and Family Life,t
2023-10-21,Allegheny County,PA,F,25 to 44,Individual and Family Life,t
2023-10-21,Allegheny County,PA,F,45 to 64,Basic Needs,t
2023-10-21,Allegheny County,PA,F,45 to 64,Basic Needs,t
2023-10-21,Allegheny County,PA,F,45 to 64,Basic Needs,t
2023-10-21,Allegheny County,PA,F,45 to 64,Basic Needs,t
2023-10-21,Allegheny County,PA,F,45 to 64,Basic Needs,t
2023-10-21,Allegheny County,PA,F,45 to 64,Basic Needs,t
2023-10-21,Allegheny County,PA,F,45 to 64,Basic Needs,t
2023-10-21,Allegheny County,PA,F,45 to 64,Basic Needs,t
2023-10-21,Allegheny County,PA,F,45 to 64,Basic Needs,t
2023-10-21,Allegheny County,PA,F,45 to 64,Basic Needs,t
2023-10-21,Allegheny County,PA,F,45 to 64,Criminal Justice and Legal Services,t
2023-10-21,Allegheny County,PA,F,45 to 64,Criminal Justice and Legal Services,t
2023-10-21,Allegheny County,PA,F,45 to 64,Criminal Justice and Legal Services,t
2023-10-21,Allegheny County,PA,F,45 to 64,Criminal Justice and Legal Services,t
2023-10-21,Allegheny County,PA,F,45 to 64,Income Support and Employment,t
2023-10-21,Allegheny County,PA,F,45 to 64,Income Support and Employment,t
2023-10-21,Allegheny County,PA,M,18 to 24,Basic Needs,t
2023-10-21,Allegheny County,PA,M,18 to 24,Basic Needs,t
2023-10-21,Allegheny County,PA,M,18 to 24,Basic Needs,t
2023-10-21,Allegheny County,PA,M,18 to 24,Basic Needs,t
2023-10-21,Allegheny County,PA,M,18 to 24,Basic Needs,t
2023-10-21,Allegheny County,PA,M,18 to 24,Basic Needs,t
2023-10-21,Allegheny County,PA,M,18 to 24,Basic Needs,t
2023-10-21,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-10-21,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-10-21,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-10-21,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-10-21,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-10-21,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-10-21,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-10-21,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-10-21,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-10-21,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-10-21,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-10-21,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-10-21,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-10-21,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-10-21,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-10-21,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-10-21,Allegheny County,PA,M,25 to 44,Basic Needs,t
2023-10-21,Allegheny County,PA,M,45 to 64,Basic Needs,f
2023-10-21,Allegheny County,PA,M,45 to 64,Basic Needs,t
2023-10-21,Allegheny County,PA,M,45 to 64,Basic Needs,t
2023-10-21,Allegheny County,PA,M,45 to 64,Basic Needs,t
2023-10-21,Allegheny County,PA,M,65 and over,Basic Needs,t
2023-10-21,Allegheny County,PA,M,65 and over,Basic Needs,t
2023-10-21,Allegheny County,PA,M,65 and over,Basic Needs,t
2023-10-21,Allegheny County,PA,M,65 and over,Basic Needs,t
2023-10-21,Allegheny County,PA,M,65 and over,Basic Needs,t
2023-10-21,Allegheny County,PA,M,65 and over,Basic Needs,t
2023-10-21,Allegheny County,PA,M,65 and over,Basic Needs,t
2023-10-21,Allegheny County,PA,M,65 and over,Income Support and Employment,t
2023-10-21,Beaver County,PA,F,65 and over,Basic Needs,t
2023-10-21,Beaver County,PA,F,65 and over,Basic Needs,t
2023-10-21,Beaver County,PA,F,65 and over,Basic Needs,t
2023-10-21,Beaver County,PA,F,65 and over,Basic Needs,t
2023-10-21,Beaver County,PA,F,65 and over,Basic Needs,t
2023-10-21,Butler County,PA,F,25 to 44,Basic Needs,t
2023-10-21,Butler County,PA,F,25 to 44,Basic Needs,t
2023-10-21,Butler County,PA,F,25 to 44,Basic Needs,t
2023-10-21,Butler County,PA,F,25 to 44,Basic Needs,t
2023-10-21,Butler County,PA,F,25 to 44,Basic Needs,t
2023-10-21,Butler County,PA,F,25 to 44,Basic Needs,t
2023-10-21,Butler County,PA,F,25 to 44,Basic Needs,t
2023-10-21,Butler County,PA,F,25 to 44,Basic Needs,t
2023-10-21,Butler County,PA,F,25 to 44,Basic Needs,t
2023-10-21,Butler County,PA,M,25 to 44,Basic Needs,t
2023-10-21,Butler County,PA,M,25 to 44,Basic Needs,t
2023-10-21,Butler County,PA,M,25 to 44,Income Support and Employment,t
2023-10-21,Butler County,PA,M,25 to 44,Income Support and Employment,t
2023-10-21,Butler County,PA,M,25 to 44,Income Support and Employment,t
2023-10-21,Cambria County,PA,F,45 to 64,Basic Needs,t
2023-10-21,Cambria County,PA,F,45 to 64,Basic Needs,t
2023-10-21,Cambria County,PA,F,45 to 64,Basic Needs,t
2023-10-21,Erie County,PA,,25 to 44,Basic Needs,t
2023-10-21,Erie County,PA,,25 to 44,Basic Needs,t
2023-10-21,Erie County,PA,F,18 to 24,Income Support and Employment,t
2023-10-21,Erie County,PA,F,18 to 24,Income Support and Employment,t
2023-10-21,Erie County,PA,F,18 to 24,Income Support and Employment,t
2023-10-21,Erie County,PA,F,18 to 24,Individual and Family Life,t
2023-10-21,Erie County,PA,F,18 to 24,Individual and Family Life,t
2023-10-21,Erie County,PA,F,18 to 24,Individual and Family Life,t
2023-10-21,Erie County,PA,F,18 to 24,Individual and Family Life,t
2023-10-21,Erie County,PA,F,18 to 24,Individual and Family Life,t
2023-10-21,Erie County,PA,F,25 to 44,Basic Needs,t
2023-10-21,Erie County,PA,F,25 to 44,Basic Needs,t
2023-10-21,Greene County,PA,F,25 to 44,Basic Needs,t
2023-10-21,Greene County,PA,F,25 to 44,Basic Needs,t
2023-10-21,Greene County,PA,F,25 to 44,Basic Needs,t
2023-10-21,Greene County,PA,F,25 to 44,Basic Needs,t
2023-10-21,Greene County,PA,F,25 to 44,Basic Needs,t
2023-10-21,Greene County,PA,F,25 to 44,Basic Needs,t
2023-10-21,Greene County,PA,F,25 to 44,Criminal Justice and Legal Services,t
2023-10-21,Venango County,PA,F,45 to 64,Basic Needs,t
2023-10-21,Venango County,PA,F,45 to 64,Basic Needs,t
2023-10-21,Venango County,PA,F,45 to 64,Basic Needs,t
2023-10-21,Venango County,PA,F,45 to 64,Basic Needs,t
2023-10-21,Venango County,PA,F,45 to 64,Basic Needs,t
2023-10-21,Venango County,PA,F,45 to 64,Basic Needs,t
2023-10-21,Washington County,PA,F,25 to 44,Basic Needs,t
2023-10-21,Washington County,PA,F,25 to 44,Basic Needs,t
2023-10-21,Washington County,PA,F,25 to 44,Basic Needs,t
2023-10-21,Washington County,PA,M,25 to 44,Basic Needs,t
2023-10-21,Washington County,PA,M,25 to 44,Basic Needs,t
2023-10-21,Washington County,PA,M,25 to 44,Basic Needs,t
2023-10-21,Washington County,PA,M,25 to 44,Basic Needs,t
2023-10-21,Westmoreland County,PA,M,25 to 44,Basic Needs,t
2023-10-22,Allegheny County,PA,F,18 to 24,Basic Needs,t
2023-10-22,Allegheny County,PA,F,18 to 24,Basic Needs,t
2023-10-22,Allegheny County,PA,F,18 to 24,Basic Needs,t
2023-10-22,Allegheny County,PA,F,18 to 24,Basic Needs,t
2023-10-22,Allegheny County,PA,F,18 to 24,Basic Needs,t
2023-10-22,Allegheny County,PA,F,18 to 24,Basic Needs,t
2023-10-22,Allegheny County,PA,F,18 to 24,Basic Needs,t
2023-10-22,Allegheny County,PA,F,18 to 24,Basic Needs,t
2023-10-22,Allegheny County,PA,F,18 to 24,Basic Needs,t
2023-10-22,Allegheny County,PA,F,18 to 24,Basic Needs,t
2023-10-22,Allegheny County,PA,F,18 to 24,Basic Needs,t
2023-10-22,Allegheny County,PA,F,18 to 24,Basic Needs,t
2023-10-22,Allegheny County,PA,F,18 to 24,Basic Needs,t
2023-10-22,Allegheny County,PA,F,18 to 24,Basic Needs,t
2023-10-22,Allegheny County,PA,F,18 to 24,Basic Needs,t
2023-10-22,Allegheny County,PA,F,18 to 24,Basic Needs,t
2023-10-22,Allegheny County,PA,F,18 to 24,Basic Needs,t
2023-10-22,Allegheny County,PA,F,18 to 24,Individual and Family Life,t
2023-10-22,Allegheny County,PA,F,18 to 24,Individual and Family Life,t
2023-10-22,Allegheny County,PA,F,18 to 24,Individual and Family Life,t
2023-10-22,Allegheny County,PA,F,18 to 24,Mental Health and Substance Use Disorder Services,t
2023-10-22,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-10-22,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-10-22,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-10-22,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-10-22,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-10-22,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-10-22,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-10-22,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-10-22,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-10-22,Allegheny County,PA,F,25 to 44,Basic Needs,t
2023-10-22,Allegheny County,PA,F,25 to 44,Income Support and Employment,t
2023-10-22,Allegheny County,PA,F,25 to 44,Income Support and Employment,t
2023-10-22,Allegheny County,PA,F,25 to 44,Income Support and Employment,t
2023-10-22,Allegheny County,PA,F,25 to 44,Income Support and Employment,t
2023-10-22,Allegheny County,PA,F,25 to 44,Income Support and Employment,t
2023-10-22,Allegheny County,PA,F,45 to 64,Basic Needs,t
2023-10-22,Allegheny County,PA,F,45 to 64,Basic Needs,t
2023-10-22,Allegheny County,PA,F,45 to 64,Basic Needs,t
2023-10-22,Allegheny County,PA,F,45 to 64,Basic Needs,t
2023-10-22,Allegheny County,PA,F,45 to 64,Basic Needs,t
2023-10-22,Allegheny County,PA,F,45 to 64,Basic Needs,t
2023-10-22,Allegheny County,PA,F,45 to 64,Basic Needs,t
2023-10-22,Allegheny County,PA,F,45 to 64,Basic Needs,t
2023-10-22,Allegheny County,PA,F,45 to 64,Basic Needs,t
