provider_type,state,total_patients,medical_payment
Dermatology,MA,188,31124.24
Diagnostic Radiology,KY,12,456.23
Anesthesiology,NY,137,11394.2
Emergency Medicine,OH,434,56357.44
Clinical Cardiac Electrophysiology,FL,939,331078.22
Optometry,IN,134,31503.64
Neurology,NJ,72,27533.67
Gastroenterology,NJ,152,33315.37
Physician Assistant,MD,125,22219.68
Obstetrics & Gynecology,FL,164,24249.15
Surgical Oncology,AR,93,36026.57
Nurse Practitioner,MO,144,22061.44
Nephrology,TX,16,4485.65
Internal Medicine,GA,1689,511921.18
Nurse Practitioner,TX,168,
Neurology,NJ,482,100854.77
Rheumatology,MS,489,
Hospitalist,TX,22,6106.34
Nurse Practitioner,IA,216,22848.88
Diagnostic Radiology,TX,1707,80253.82
Physical Therapist in Private Practice,IL,34,15137.73
Occupational Therapist in Private Practice,ME,17,16381.87
Physical Medicine and Rehabilitation,TX,21,7561.28
Nurse Practitioner,MI,49,4469.76
Family Practice,CA,262,62233.33
Infectious Disease,NJ,325,
Internal Medicine,MD,185,28031.22
Chiropractic,FL,27,14871.53
Physical Therapist in Private Practice,NY,16,27078.56
Physician Assistant,MI,195,30371.47
Emergency Medicine,OH,511,70156.26
Internal Medicine,AZ,133,29088.29
Ophthalmology,GA,1773,
Nurse Practitioner,GA,47,8660.36
Nurse Practitioner,NY,219,
Nurse Practitioner,MI,242,11789.14
Physician Assistant,OH,203,19933.55
General Surgery,KS,651,280076.32
Optometry,MI,122,32814.55
Nurse Practitioner,CA,136,
Nurse Practitioner,MO,71,12535.54
Certified Registered Nurse Anesthetist (CRNA),MO,125,10422.99
Nurse Practitioner,NC,115,47384.51
Diagnostic Radiology,GA,251,3701.94
Nurse Practitioner,IA,108,8388.66
Internal Medicine,CA,22,3426.52
Diagnostic Radiology,FL,426,25763.65
Obstetrics & Gynecology,IL,45,5265.26
Internal Medicine,DC,140,36931.24
Family Practice,TX,36,
Hematology-Oncology,FL,1050,605685.76
Physical Medicine and Rehabilitation,AL,335,112613.79
Family Practice,PA,14,221.65
Family Practice,ND,772,120618.98
Cardiology,MD,3301,210052.66
Emergency Medicine,PA,164,16309.65
Internal Medicine,FL,763,176689.08
Internal Medicine,FL,419,66359.24
Cardiology,IL,1816,
Certified Registered Nurse Anesthetist (CRNA),OH,99,17681.82
Physician Assistant,NE,119,12350.61
Obstetrics & Gynecology,NC,16,1327.39
Anesthesiology,OH,246,35250.31
Physical Therapist in Private Practice,CA,17,4388.47
Dermatology,CA,414,
Nurse Practitioner,FL,48,10608.57
Family Practice,TN,149,31839.16
Nephrology,TN,307,63180.98
Certified Registered Nurse Anesthetist (CRNA),FL,182,30590.95
Optometry,NY,108,10166.11
Physical Therapist in Private Practice,NY,48,96485.24
Nurse Practitioner,GA,85,4893.96
Physical Therapist in Private Practice,PA,39,5848.63
Ophthalmology,PA,1612,1136245.17
"Psychologist, Clinical",CA,12,64216.06
Internal Medicine,OH,306,37144.95
Nurse Practitioner,IN,49,2501.5
Pathology,TX,81,4354.19
Chiropractic,AL,39,14829.98
Nurse Practitioner,VA,91,4389.75
Nurse Practitioner,TX,12,404.71
Physician Assistant,ID,104,10663.06
Licensed Clinical Social Worker,CT,27,7654.71
Internal Medicine,OH,215,24688.07
Emergency Medicine,NY,384,57199
Physical Therapist in Private Practice,NY,40,174203.22
Physician Assistant,WI,103,7882.17
Physician Assistant,PA,74,4947.87
General Surgery,NC,122,48810.98
Physician Assistant,FL,115,12106.59
Anesthesiology,TX,43,9839.25
Nurse Practitioner,WI,72,
Physical Therapist in Private Practice,VA,79,30752.05
Obstetrics & Gynecology,FL,17,2976.37
Physician Assistant,TN,240,13461.72
Certified Registered Nurse Anesthetist (CRNA),MA,135,13175.16
Emergency Medicine,NY,75,10325.8
Gastroenterology,WA,56,11165.11
Internal Medicine,MI,31,3764.37
Psychiatry,WY,11,2268.83
"Psychologist, Clinical",WA,38,28859.8
Nurse Practitioner,FL,18,2420.46
Family Practice,MN,270,34927.97
Diagnostic Radiology,PA,880,15621.85
Diagnostic Radiology,PA,1184,105090.73
Internal Medicine,CO,207,54591.66
Diagnostic Radiology,TX,2668,124721.3
Audiologist,NY,270,10301
Nurse Practitioner,FL,58,13495.76
Nurse Practitioner,OH,128,18243.1
Certified Registered Nurse Anesthetist (CRNA),NE,148,26591.28
Orthopedic Surgery,FL,553,
Physician Assistant,OR,172,
General Practice,NC,156,45267.56
"Psychologist, Clinical",TX,24,11483.89
General Surgery,WV,103,59315.59
Psychiatry,NY,66,5538.08
Emergency Medicine,KS,205,20278.5
Optometry,NC,111,10152.44
Critical Care (Intensivists),FL,141,48909.05
Nephrology,NC,15,3214.62
Neurology,IN,11,5685.49
Physician Assistant,MI,15,1782.61
Physician Assistant,NY,470,
Clinical Cardiac Electrophysiology,CA,5062,1647182.32
Nurse Practitioner,NC,219,59703.57
Diagnostic Radiology,MA,1022,
Nephrology,MI,151,22849.27
Cardiology,MS,1676,616402.97
Anesthesiology,TN,191,41497.96
Nurse Practitioner,MO,103,10654.38
Nurse Practitioner,NC,76,5004.03
Optometry,MO,337,28129.69
Nurse Practitioner,NY,124,117561.25
Occupational Therapist in Private Practice,MO,75,17220.13
Internal Medicine,OH,247,84712.51
Emergency Medicine,MD,588,84149.42
Nurse Practitioner,IN,222,64280.22
Internal Medicine,NY,119,21964.32
Anesthesiology,WI,153,9977.04
Certified Registered Nurse Anesthetist (CRNA),MD,240,43715.35
Ophthalmology,AZ,727,276174.21
Physical Therapist in Private Practice,ID,40,20093
Diagnostic Radiology,NJ,2188,168018.58
Diagnostic Radiology,OH,2286,94443.53
Physical Therapist in Private Practice,NY,44,30982.03
Certified Registered Nurse Anesthetist (CRNA),ME,31,1868.08
Clinical Cardiac Electrophysiology,NY,3309,1743098.66
Certified Registered Nurse Anesthetist (CRNA),ND,181,17064.32
Interventional Cardiology,NJ,813,
Optometry,CO,40,3375.4
Ophthalmology,NC,1176,354791.58
Nurse Practitioner,IN,28,2296.76
Nurse Practitioner,AL,41,3060.16
Cardiology,TX,600,136090.18
Optometry,NY,168,25967.77
Optometry,CT,213,31169.81
Obstetrics & Gynecology,PA,44,
Nurse Practitioner,NJ,18,1178.88
Physical Therapist in Private Practice,PA,23,27930.15
Nurse Practitioner,MD,211,88729.69
Optometry,TX,29,3142.41
Gastroenterology,CA,20,23168.09
Physical Therapist in Private Practice,NJ,30,35749.77
Diagnostic Radiology,AZ,1360,
Interventional Cardiology,MA,583,86171.75
Diagnostic Radiology,TX,1513,60227.54
Certified Registered Nurse Anesthetist (CRNA),MI,49,5916.89
Endocrinology,ME,39,6340.06
"Psychologist, Clinical",MA,31,67554.33
General Surgery,FL,166,59543.03
Nurse Practitioner,PA,41,9099.89
Nurse Practitioner,FL,260,18630.28
Otolaryngology,CA,120,45537.75
Nurse Practitioner,OR,253,
Hand Surgery,WA,183,48964.11
Dermatology,LA,237,40260.1
Family Practice,CA,40,487.12
Emergency Medicine,NJ,24,2360.5
Cardiology,PA,1327,115141.47
Gastroenterology,FL,243,
Pulmonary Disease,GA,199,57506.22
Nurse Practitioner,TX,117,
Physician Assistant,PA,59,4760.81
Colorectal Surgery (Proctology),UT,79,43360.43
Anesthesiology,KY,170,15415.48
Psychiatry,MO,94,33937.27
Physical Therapist in Private Practice,CA,93,20513.28
Optometry,FL,1552,178693.35
Otolaryngology,GA,1325,158230.13
Nurse Practitioner,TX,75,5629.84
Geriatric Medicine,CT,233,67488.91
Physician Assistant,FL,184,20193.66
Podiatry,OH,319,
Anesthesiology,CA,140,18532.96
Nurse Practitioner,WI,142,21441.92
Orthopedic Surgery,ID,128,64618.85
Chiropractic,FL,86,56304.57
Diagnostic Radiology,VA,3379,666051.42
Internal Medicine,RI,140,
Chiropractic,NY,13,3944.22
Emergency Medicine,CA,21,
Emergency Medicine,IL,325,46029.67
Optometry,TX,220,21983.99
Diagnostic Radiology,TX,1520,251554.23
Nurse Practitioner,KS,79,
Gastroenterology,TX,150,32837.13
Internal Medicine,TX,102,18808.24
Ophthalmology,IL,65,7493.78
Certified Registered Nurse Anesthetist (CRNA),IL,89,14432.24
Physician Assistant,WA,21,1933.45
Cardiology,FL,314,42823.31
Physician Assistant,ME,45,5847.46
Psychiatry,CT,15,2833.07
Physical Therapist in Private Practice,MN,45,27209.47
Rheumatology,NH,11,1220.45
Nurse Practitioner,NC,30,2498.96
Family Practice,NJ,355,163598.97
Nurse Practitioner,FL,78,8030.56
Physical Therapist in Private Practice,TX,71,47456.93
General Surgery,OR,32,9043.54
Physical Therapist in Private Practice,FL,97,34794.47
Physician Assistant,FL,549,56292.56
Neurology,NH,419,76773.39
Internal Medicine,CO,261,37191.06
Infectious Disease,NV,130,33735.59
Family Practice,NY,208,91423.35
Obstetrics & Gynecology,OH,48,7321.8
Critical Care (Intensivists),PA,256,80336.68
Internal Medicine,MI,11,1307.82
Radiation Oncology,NJ,843,281386.83
Anesthesiology,FL,230,26327.86
Nurse Practitioner,FL,199,
Family Practice,AK,72,12274.55
Certified Registered Nurse Anesthetist (CRNA),MO,68,9427.54
Radiation Oncology,PA,142,62195.43
Physical Therapist in Private Practice,NJ,38,66076.04
General Surgery,HI,116,52646.57
General Surgery,TX,183,77823.23
Physician Assistant,MD,140,
Podiatry,NJ,613,205430.39
Certified Registered Nurse Anesthetist (CRNA),NY,40,5581.08
Audiologist,WI,143,4275.45
Cardiology,CA,55,3912.7
General Surgery,TX,213,31527.04
Emergency Medicine,CT,16,1851.25
Hospitalist,NH,28,3518.65
Licensed Clinical Social Worker,MD,33,37352.2
Physician Assistant,ME,124,11590.59
Radiation Oncology,MO,269,180160.96
Obstetrics & Gynecology,OH,177,30673.6
General Surgery,PA,124,
Chiropractic,OH,30,4925.62
Nurse Practitioner,KS,148,14396.43
Physician Assistant,NY,262,256613.26
Physician Assistant,MN,109,
Neurology,IA,198,
Nurse Practitioner,NJ,190,82258.64
Physical Therapist in Private Practice,TX,15,8383.83
Family Practice,WY,21,3328.86
Rheumatology,KY,220,99859.86
Nurse Practitioner,PA,67,7507.78
Nurse Practitioner,MO,739,89906.83
Physician Assistant,NY,12,1587.76
Family Practice,WA,107,
Family Practice,ID,585,74265.09
Cardiology,NJ,694,130019.17
Chiropractic,NJ,85,37024.05
Certified Registered Nurse Anesthetist (CRNA),TN,497,58996.41
Physical Therapist in Private Practice,NJ,233,65027.39
Clinical Cardiac Electrophysiology,IN,763,253146.72
Licensed Clinical Social Worker,NC,12,1070.25
Physical Therapist in Private Practice,RI,29,17250.67
Internal Medicine,MA,107,61767.55
Physical Therapist in Private Practice,NJ,98,98263.78
Allergy/ Immunology,MS,103,22114
Family Practice,OK,448,146847.14
Nurse Practitioner,MS,46,4211.82
General Practice,TN,142,31697.07
Obstetrics & Gynecology,PA,12,3287.11
Internal Medicine,CA,126,14687.19
Family Practice,TN,86,12335.61
Emergency Medicine,OK,340,26805.36
Physical Therapist in Private Practice,WA,47,22131.38
Interventional Radiology,MS,300,50146.26
Obstetrics & Gynecology,PA,145,
Physician Assistant,NY,55,5512.54
Plastic and Reconstructive Surgery,CA,16,12240.14
Diagnostic Radiology,OK,2796,172452.86
Nephrology,MO,106,47164.18
Psychiatry,CA,93,36025.42
Radiation Oncology,NJ,354,194955.34
Nurse Practitioner,TX,295,79672.72
Physical Therapist in Private Practice,NY,75,52602.55
Certified Clinical Nurse Specialist,MO,242,40992.22
Audiologist,NY,81,2310.48
Hospitalist,CA,257,66465.75
General Surgery,NY,174,100439.17
Vascular Surgery,CO,133,59837.6
Certified Registered Nurse Anesthetist (CRNA),MI,128,12991.96
Obstetrics & Gynecology,PA,40,3947.5
Vascular Surgery,PA,16,1038.07
"Psychologist, Clinical",NJ,23,59156.59
Physical Therapist in Private Practice,OR,13,4160.85
Family Practice,LA,317,55235.69
Physician Assistant,ID,72,
Physical Therapist in Private Practice,VA,192,58208.36
Gastroenterology,TX,129,20548.71
Nurse Practitioner,SC,410,
Infectious Disease,OR,56,
Neurology,MA,209,40952.83
Nurse Practitioner,TX,117,12680.81
Otolaryngology,LA,86,39702.78
Pathology,CA,25,1837.71
Physician Assistant,AZ,274,16019.8
Optometry,NC,132,25329.14
Optometry,NJ,114,23029.05
Diagnostic Radiology,DE,4387,227320.94
Psychiatry,VT,11,4727.16
Neurology,DE,183,49375.36
Nurse Practitioner,IN,226,59312.53
Occupational Therapist in Private Practice,OR,29,3463.3
Physical Therapist in Private Practice,GA,65,40417.8
Emergency Medicine,NC,346,44416.23
Infectious Disease,NV,237,59506.34
Internal Medicine,TX,539,194840.94
Nurse Practitioner,NC,40,6015.56
Nurse Practitioner,OH,114,
Internal Medicine,FL,970,367535.43
General Practice,FL,268,39898.03
Physician Assistant,TN,100,
Neurology,CA,547,125195.8
Obstetrics & Gynecology,IL,20,
Nurse Practitioner,NY,302,11814.61
Anesthesiology Assistant,GA,95,12733.17
Physical Therapist in Private Practice,NY,38,58154.95
Anesthesiology,NJ,269,78241.46
Emergency Medicine,NJ,780,116730.39
Physician Assistant,MD,131,9907.78
"Psychologist, Clinical",TX,14,23896.21
Hospitalist,CA,261,60653.04
Physician Assistant,CT,56,4120.58
Internal Medicine,NY,277,68041.62
Certified Registered Nurse Anesthetist (CRNA),OR,105,13505.04
Anesthesiology,WA,72,4633.6
Physician Assistant,MD,320,43695.85
Nurse Practitioner,AL,118,5565.14
Urology,CA,1526,435646.95
Certified Nurse Midwife,MS,14,747.1
Physical Therapist in Private Practice,MI,63,31188.78
Chiropractic,NY,48,7438.23
General Surgery,CA,108,63354.85
Certified Registered Nurse Anesthetist (CRNA),MN,209,31239.18
Nurse Practitioner,OH,325,
Family Practice,OH,24,5001.92
Gastroenterology,CA,647,149027.69
Physical Therapist in Private Practice,PA,30,25132.79
Chiropractic,FL,12,2828.52
Family Practice,NJ,273,86539.62
Anesthesiology,CO,211,30931.76
Otolaryngology,CA,277,
Allergy/ Immunology,NC,193,58508.85
Internal Medicine,NC,87,13106.88
Podiatry,CA,332,66798.71
Licensed Clinical Social Worker,SD,12,17380.74
Diagnostic Radiology,NY,349,45733.87
Geriatric Medicine,MD,252,119863.62
Physician Assistant,MI,32,3541.4
Urology,NJ,636,156855.43
Interventional Radiology,VA,1519,196630.24
Emergency Medicine,WA,710,87073.22
Optometry,CA,148,17589.09
Emergency Medicine,OR,353,48341.09
Gastroenterology,NJ,536,122237.88
Emergency Medicine,MA,267,31022.12
"Psychologist, Clinical",SC,25,5792.35
Nurse Practitioner,AL,31,740.04
Orthopedic Surgery,TX,590,262255.1
Physician Assistant,TX,174,
Physician Assistant,SD,269,
Physical Therapist in Private Practice,WA,84,35215.09
Ophthalmology,CA,378,81934.55
Psychiatry,MN,47,14335.41
Obstetrics & Gynecology,OK,66,
Nurse Practitioner,IL,126,12691.26
Hematology,NC,29,2397.5
Optometry,MN,290,35422.64
Family Practice,MS,83,
Psychiatry,IN,27,1094.99
Ophthalmology,MA,953,115057.74
Family Practice,AL,57,
Nurse Practitioner,CA,125,63999.01
Nurse Practitioner,VA,28,851.23
Otolaryngology,GA,63,33170.81
Vascular Surgery,TX,304,165663.12
Nurse Practitioner,MA,77,6441.73
Emergency Medicine,NC,115,14246.35
Physical Therapist in Private Practice,TX,47,97013.24
Physician Assistant,KY,262,40015.17
Physical Therapist in Private Practice,NY,60,115976.65
Certified Registered Nurse Anesthetist (CRNA),WI,19,1803.31
Nurse Practitioner,VA,104,44906.99
Critical Care (Intensivists),GA,136,35655.91
Internal Medicine,MT,157,19010.63
Physical Therapist in Private Practice,NE,123,99021.02
Family Practice,PA,82,8820.94
"Psychologist, Clinical",CA,22,69917.41
Physical Therapist in Private Practice,KS,53,30001.4
Certified Registered Nurse Anesthetist (CRNA),MI,36,3877.49
Nurse Practitioner,MI,202,
Family Practice,WA,142,26390.8
Gastroenterology,CA,227,118452.53
Nephrology,NY,182,
Physical Therapist in Private Practice,PA,20,29518.03
General Surgery,SC,84,9190.4
Chiropractic,OK,73,11776.78
Physical Medicine and Rehabilitation,PA,194,23847.97
Physical Therapist in Private Practice,WI,12,1688.12
Nurse Practitioner,OH,424,34110.9
Anesthesiology,WV,101,11216.39
Emergency Medicine,UT,149,18344.93
Physician Assistant,VA,79,8776.02
Nurse Practitioner,CA,21,1388.93
Internal Medicine,FL,65,
Internal Medicine,TX,259,66890.93
Vascular Surgery,FL,632,176589.16
Nurse Practitioner,IL,265,37429.51
Physical Therapist in Private Practice,NY,111,42457.01
Hospitalist,IL,422,71402.38
Diagnostic Radiology,TN,1286,60174.42
Nurse Practitioner,CA,53,841.54
Internal Medicine,AZ,39,2813.7
Family Practice,NC,99,
Physician Assistant,OH,45,2916.49
Nurse Practitioner,KY,102,78049.05
Otolaryngology,SC,674,264097.83
Occupational Therapist in Private Practice,TN,66,6676.58
Emergency Medicine,PA,275,30858.13
Orthopedic Surgery,CA,178,
Diagnostic Radiology,MN,3916,1073718.38
Internal Medicine,NY,320,75408.43
Physical Therapist in Private Practice,NH,65,49142.04
Emergency Medicine,AR,245,28059.62
Internal Medicine,TX,473,100663.04
Physical Therapist in Private Practice,MI,91,27896.5
Nurse Practitioner,MI,274,65255.29
Nurse Practitioner,AZ,436,38848.03
Nurse Practitioner,VA,425,38013.68
Physical Medicine and Rehabilitation,PA,71,8918.32
Nurse Practitioner,FL,11,686.2
Occupational Therapist in Private Practice,OK,45,18266.34
Nurse Practitioner,IL,106,
Physician Assistant,OK,65,
Psychiatry,NC,40,17879.92
Certified Registered Nurse Anesthetist (CRNA),MN,45,4652.47
Nephrology,PA,235,43966.87
Nurse Practitioner,GA,168,
Endocrinology,FL,74,15012.92
Family Practice,CA,253,50876.64
Nurse Practitioner,TX,39,
Physician Assistant,VA,124,8416.04
Family Practice,MT,60,1131.57
Physician Assistant,DC,88,32904.71
Nurse Practitioner,OH,547,196806.23
Pain Management,NY,1090,417550.58
Gastroenterology,CA,19,2722.27
Diagnostic Radiology,WI,2543,145117.32
Medical Oncology,NY,125,30887.81
Emergency Medicine,TX,63,7366.44
Family Practice,MI,134,17015.25
Emergency Medicine,SC,583,72789.44
Pulmonary Disease,PA,607,69555.6
Critical Care (Intensivists),NJ,176,46155.4
Nurse Practitioner,NY,110,18836.42
Physical Therapist in Private Practice,NC,24,14418.83
Diagnostic Radiology,HI,3512,145610.75
Internal Medicine,DC,123,31681.58
Sports Medicine,NJ,260,138764.6
Nurse Practitioner,OH,35,9510.19
Obstetrics & Gynecology,AK,46,
Anesthesiology,MN,46,9478.27
Orthopedic Surgery,PA,14,
Podiatry,CT,308,45745.31
Obstetrics & Gynecology,MN,34,7352.26
Gastroenterology,MN,134,22325.81
Chiropractic,FL,11,1034.67
"Psychologist, Clinical",NY,14,46453.6
Internal Medicine,HI,191,25437.77
Physician Assistant,NY,172,6831.77
Physician Assistant,NC,145,20130.65
Physical Medicine and Rehabilitation,FL,47,12493.91
Nurse Practitioner,SD,12,
Nurse Practitioner,SC,178,16351.5
Radiation Oncology,CA,513,275264.43
Hematology-Oncology,NY,609,214625.92
Nurse Practitioner,MN,50,11744.16
Clinical Cardiac Electrophysiology,AZ,365,187709.37
Nurse Practitioner,CA,57,
Internal Medicine,PA,367,98139
Neurology,IL,218,40163.18
Physician Assistant,WA,186,28403.07
Nurse Practitioner,NV,120,29638.46
Orthopedic Surgery,IA,287,133916.07
Neurosurgery,IL,334,110822.65
Chiropractic,WA,25,9450.67
Vascular Surgery,NJ,806,237125.16
Physician Assistant,IL,427,49038.68
Nurse Practitioner,TX,48,76410.82
Physician Assistant,MI,79,
Physical Therapist in Private Practice,NY,29,54177.76
Dermatology,WA,2569,328099.74
Physician Assistant,NY,130,15149.07
Licensed Clinical Social Worker,GA,19,6607.02
Family Practice,NH,356,74527.23
Internal Medicine,MA,17,1997.68
Nurse Practitioner,AZ,137,
Nurse Practitioner,PA,44,3498.31
Physical Therapist in Private Practice,NJ,19,10670.53
Anesthesiology,CA,97,24875.19
Physical Therapist in Private Practice,NY,81,145652.23
Internal Medicine,FL,109,41361.75
Nurse Practitioner,NC,95,
Urology,PA,836,251367.59
Nurse Practitioner,LA,105,8676.91
Psychiatry,MA,142,21959.27
Chiropractic,AZ,185,26479.64
Chiropractic,WI,19,5784.93
Physical Therapist in Private Practice,AZ,521,275433.6
Family Practice,ID,158,25950.31
Pathology,PR,98,8758.03
Physical Therapist in Private Practice,VT,17,6352.28
Podiatry,FL,1118,164595.61
Nurse Practitioner,CT,24,
Podiatry,NY,339,85410.64
Family Practice,CA,355,82520.89
Nurse Practitioner,IN,56,1419.42
Physical Therapist in Private Practice,NY,29,9051.56
Speech Language Pathologist,NJ,116,34650.36
Licensed Professional Counselor,IA,11,1529.84
Physical Therapist in Private Practice,WI,16,1505.31
Physician Assistant,AZ,116,13454.22
Nurse Practitioner,FL,628,44954.99
Physical Therapist in Private Practice,PA,203,173164.98
Physician Assistant,RI,345,17259.25
Nurse Practitioner,TX,296,92452.27
Physical Therapist in Private Practice,TX,170,49577.4
Pulmonary Disease,MA,322,47408.44
Neurology,NY,73,18079.75
Psychiatry,MA,41,7434.74
Nurse Practitioner,IA,77,9460.75
Nurse Practitioner,MA,372,36796.32
Anesthesiology,PR,54,12974.74
Certified Registered Nurse Anesthetist (CRNA),GA,100,7602.13
Speech Language Pathologist,AR,25,21686.13
Nurse Practitioner,IN,90,12858.46
Physical Therapist in Private Practice,NC,43,20348.59
Chiropractic,WI,13,2170.9
Emergency Medicine,TX,288,41667.92
Emergency Medicine,CA,430,63145.76
Obstetrics & Gynecology,IN,65,9110.98
Ophthalmology,AZ,1061,264324.66
Occupational Therapist in Private Practice,CA,52,11986.5
Family Practice,MD,154,21358.49
Nurse Practitioner,OH,160,12022.88
Physical Therapist in Private Practice,MI,45,84118.27
Pain Management,WI,330,183483.01
Emergency Medicine,CA,31,3927.16
Pulmonary Disease,FL,175,
Nurse Practitioner,RI,70,10982.96
Emergency Medicine,CA,411,63320.2
Internal Medicine,IL,379,86030.71
Obstetrics & Gynecology,FL,109,16859.88
Family Practice,CA,193,38739.13
Otolaryngology,WI,134,
Nurse Practitioner,NY,15,5947.09
Nurse Practitioner,OH,189,12159.16
Nurse Practitioner,FL,179,21196.25
Occupational Therapist in Private Practice,OK,47,21568.08
Audiologist,PA,65,1960.46
Nurse Practitioner,NY,52,3004.17
Family Practice,OK,52,18672.98
Family Practice,PA,965,114925.37
Optometry,PR,24,1174.92
Physician Assistant,GA,21,1643.8
Nurse Practitioner,NY,320,66475.65
Physician Assistant,OH,203,10586.32
Emergency Medicine,TX,901,133307.72
Physician Assistant,FL,635,
Nurse Practitioner,TX,194,103300.45
Emergency Medicine,SC,205,25337.97
Obstetrics & Gynecology,IL,67,8046.51
Physical Therapist in Private Practice,MD,33,57653.41
Nurse Practitioner,NH,70,5464.43
Nurse Practitioner,MA,65,
Hematology-Oncology,IL,382,98502.3
Optometry,CA,617,49015.61
Internal Medicine,NY,190,71159.57
Optometry,NJ,279,29917.31
Obstetrics & Gynecology,NE,61,6478.12
Hospitalist,CA,51,14747.05
Nurse Practitioner,NC,49,4899.28
Nurse Practitioner,VA,56,16453.85
Physical Therapist in Private Practice,CA,14,20516.64
Nurse Practitioner,LA,167,19629.68
Otolaryngology,OH,106,67037.19
Nurse Practitioner,NJ,21,3232.87
Anesthesiology,MT,126,25027.23
Gastroenterology,CA,730,193569.93
Otolaryngology,FL,116,51907.85
Nephrology,FL,534,201087.04
Psychiatry,CA,16,2194.4
General Surgery,MO,210,71493.81
Physician Assistant,TN,219,43617.58
Nephrology,GA,413,152340.74
Internal Medicine,CA,434,218092.94
Ophthalmology,MI,192,143219.99
Emergency Medicine,FL,326,42486.6
Podiatry,OR,308,65694.97
Physician Assistant,GA,45,2587.62
Nurse Practitioner,NM,126,15710.7
Physician Assistant,MN,26,1084.09
Diagnostic Radiology,TX,4430,694578
Physician Assistant,CT,29,4526.43
Internal Medicine,FL,1780,717101.02
Internal Medicine,SD,188,25632.05
Physician Assistant,CA,209,
Family Practice,CA,194,23968.59
Chiropractic,WI,200,43435.54
Pathology,TX,61,2208.61
Physician Assistant,NJ,75,7187.31
Plastic and Reconstructive Surgery,MI,14,2577.93
Nurse Practitioner,TN,227,89688.58
Nurse Practitioner,PA,346,72468.18
Obstetrics & Gynecology,TX,103,
Thoracic Surgery,NC,88,58892.51
Registered Dietitian or Nutrition Professional,NY,15,1652.28
Emergency Medicine,FL,315,36492.48
Diagnostic Radiology,MO,1111,
Pain Management,GA,86,8730.97
Internal Medicine,TX,130,45659.1
Occupational Therapist in Private Practice,NJ,132,18671.6
Cardiac Surgery,WA,66,33523.48
Dermatology,TN,751,262250.34
General Surgery,TN,539,687079.91
Geriatric Medicine,MD,115,
Internal Medicine,KS,107,38608.56
Family Practice,WA,76,5204.96
Nurse Practitioner,PA,158,18596.89
Physical Therapist in Private Practice,IL,27,17434.74
Neurology,TN,118,17557.48
Physical Therapist in Private Practice,IA,60,12704.65
Internal Medicine,MA,58,8659.99
Certified Registered Nurse Anesthetist (CRNA),AZ,208,22621.34
Orthopedic Surgery,OH,655,296328.81
Psychiatry,LA,108,17709.78
Physical Therapist in Private Practice,NH,52,42822.86
Nurse Practitioner,IN,149,13976.93
Optometry,CA,40,4953.91
Gastroenterology,TN,343,67861.11
Nurse Practitioner,VA,154,17037.67
Diagnostic Radiology,MN,1484,90203.85
Physical Therapist in Private Practice,NC,39,16001
Neurology,CA,330,76424.79
Podiatry,OH,355,55877.19
Certified Registered Nurse Anesthetist (CRNA),FL,129,24187.01
Cardiology,UT,203,63809.61
Podiatry,MD,383,45748.07
Chiropractic,FL,103,30301.36
Physician Assistant,OR,14,1506.58
Nurse Practitioner,FL,31,3849.16
Nurse Practitioner,FL,113,
Psychiatry,KS,21,4173.91
Internal Medicine,FL,24,4455.85
General Surgery,NY,253,68071.92
Nurse Practitioner,NE,287,57530.76
Nurse Practitioner,MI,19,1706.39
Diagnostic Radiology,NC,2614,191081.42
Nephrology,OH,306,85726.55
Hospitalist,OK,120,13686.51
Hospitalist,LA,186,24026.67
Hospitalist,OH,89,18163.75
Family Practice,NY,17,390.94
Chiropractic,MN,20,8262.21
Pulmonary Disease,NJ,296,102034.62
Nurse Practitioner,TX,94,18646.6
Vascular Surgery,PA,744,156448.03
Nurse Practitioner,FL,102,17561.67
Hospitalist,PA,220,42462.46
Family Practice,IL,12,790.16
Obstetrics & Gynecology,IL,41,2795.51
Infectious Disease,NV,723,387277.45
Diagnostic Radiology,TX,1475,
Family Practice,NH,98,18070.75
Occupational Therapist in Private Practice,AZ,39,26758.57
Anesthesiology,IN,53,13514.4
Hematology-Oncology,CA,246,175173.11
Physical Therapist in Private Practice,NY,68,21797.51
Internal Medicine,PA,197,61302.42
Chiropractic,PA,26,5252.19
Internal Medicine,AZ,137,46332.97
Neurology,TN,78,7504.58
Anesthesiology,NE,32,8448.89
Family Practice,OH,63,67516.41
Gynecological Oncology,NY,125,136523.78
Optometry,IL,135,11579.51
Nurse Practitioner,LA,21,421.72
Internal Medicine,AZ,168,68645.53
Diagnostic Radiology,IN,1094,138111.63
Diagnostic Radiology,FL,831,31763.69
Emergency Medicine,MA,235,31785.45
Gastroenterology,MA,400,66234.96
Physician Assistant,UT,110,
Anesthesiology,PA,284,24102.31
Urology,WA,134,28209.5
Internal Medicine,VA,395,67825.22
Hospitalist,WI,137,25060.37
Nurse Practitioner,TN,11,160.2
Optometry,TX,37,2907.79
Psychiatry,IN,34,6984.66
Optometry,NC,90,10355.25
Physical Therapist in Private Practice,AR,98,35887.88
Physician Assistant,NY,115,12871.51
Nurse Practitioner,TX,39,
Endocrinology,MI,799,151345.56
Certified Registered Nurse Anesthetist (CRNA),FL,16,2009.01
Interventional Cardiology,PA,1018,117336.34
Orthopedic Surgery,FL,424,133175.62
