year,Community Board,Borough,Complaint Type,cnt
2011,10 BROOKLYN,BROOKLYN,Noise - Residential,38
2011,10 BROOKLYN,BROOKLYN,PAINT - PLASTER,32
2011,10 BROOKLYN,BROOKLYN,GENERAL CONSTRUCTION,31
2011,10 BROOKLYN,BROOKLYN,Dirty Conditions,30
2011,10 BROOKLYN,BROOKLYN,PLUMBING,30
2011,10 BROOKLYN,BROOKLYN,Illegal Parking,29
2011,10 MANHATTAN,MANHATTAN,HEATING,144
2011,10 MANHATTAN,MANHATTAN,Noise - Residential,144
2011,10 MANHATTAN,MANHATTAN,GENERAL CONSTRUCTION,119
2011,10 MANHATTAN,MANHATTAN,PLUMBING,94
2011,10 MANHATTAN,MANHATTAN,NONCONST,84
2011,10 MANHATTAN,MANHATTAN,PAINT - PLASTER,70
2011,10 MANHATTAN,MANHATTAN,ELECTRIC,35
2011,10 MANHATTAN,MANHATTAN,Noise - Street/Sidewalk,25
2011,10 MANHATTAN,MANHATTAN,Water System,25
2011,10 MANHATTAN,MANHATTAN,Noise,25
2011,10 QUEENS,QUEENS,Blocked Driveway,70
2011,10 QUEENS,QUEENS,Building/Use,67
2011,10 QUEENS,QUEENS,Damaged Tree,61
2011,10 QUEENS,QUEENS,Sewer,56
2011,10 QUEENS,QUEENS,Noise - Residential,56
2011,10 QUEENS,QUEENS,Water System,54
2011,10 QUEENS,QUEENS,Street Light Condition,54
2011,10 QUEENS,QUEENS,Illegal Parking,40
2011,10 QUEENS,QUEENS,Street Condition,40
2011,10 QUEENS,QUEENS,Dirty Conditions,33
2011,11 BRONX,BRONX,Noise - Residential,139
2011,11 BRONX,BRONX,HEATING,129
2011,11 BRONX,BRONX,GENERAL CONSTRUCTION,74
2011,11 BRONX,BRONX,Street Light Condition,71
2011,11 BRONX,BRONX,PLUMBING,68
2011,11 BRONX,BRONX,PAINT - PLASTER,61
2011,11 BRONX,BRONX,Blocked Driveway,41
2011,11 BRONX,BRONX,Water System,35
2011,11 BRONX,BRONX,NONCONST,34
2011,11 BRONX,BRONX,Sewer,23
2011,11 BROOKLYN,BROOKLYN,Blocked Driveway,87
2011,11 BROOKLYN,BROOKLYN,HEATING,68
2011,11 BROOKLYN,BROOKLYN,PLUMBING,52
2011,11 BROOKLYN,BROOKLYN,PAINT - PLASTER,48
2011,11 BROOKLYN,BROOKLYN,Noise - Residential,47
2011,11 BROOKLYN,BROOKLYN,Street Condition,44
2011,11 BROOKLYN,BROOKLYN,Traffic Signal Condition,43
2011,11 BROOKLYN,BROOKLYN,GENERAL CONSTRUCTION,37
2011,11 BROOKLYN,BROOKLYN,Water System,35
2011,11 BROOKLYN,BROOKLYN,Illegal Parking,34
2011,11 MANHATTAN,MANHATTAN,Noise - Residential,124
2011,11 MANHATTAN,MANHATTAN,GENERAL CONSTRUCTION,58
2011,11 MANHATTAN,MANHATTAN,HEATING,58
2011,11 MANHATTAN,MANHATTAN,PLUMBING,50
2011,11 MANHATTAN,MANHATTAN,PAINT - PLASTER,40
2011,11 MANHATTAN,MANHATTAN,Street Condition,35
2011,11 MANHATTAN,MANHATTAN,NONCONST,32
2011,11 MANHATTAN,MANHATTAN,General Construction/Plumbing,19
2011,11 MANHATTAN,MANHATTAN,Noise,18
2011,11 MANHATTAN,MANHATTAN,Noise - Street/Sidewalk,17
2011,11 QUEENS,QUEENS,Street Light Condition,75
2011,11 QUEENS,QUEENS,Damaged Tree,65
2011,11 QUEENS,QUEENS,Sewer,50
2011,11 QUEENS,QUEENS,Street Condition,42
2011,11 QUEENS,QUEENS,Water System,38
2011,11 QUEENS,QUEENS,Illegal Parking,29
2011,11 QUEENS,QUEENS,Dead Tree,24
2011,11 QUEENS,QUEENS,Building/Use,22
2011,11 QUEENS,QUEENS,Overgrown Tree/Branches,21
2011,11 QUEENS,QUEENS,Missed Collection (All Materials),20
2011,12 BRONX,BRONX,HEATING,137
2011,12 BRONX,BRONX,Noise - Residential,117
2011,12 BRONX,BRONX,GENERAL CONSTRUCTION,106
2011,12 BRONX,BRONX,PLUMBING,90
2011,12 BRONX,BRONX,Blocked Driveway,84
2011,12 BRONX,BRONX,PAINT - PLASTER,81
2011,12 BRONX,BRONX,Water System,79
2011,12 BRONX,BRONX,NONCONST,69
2011,12 BRONX,BRONX,Dirty Conditions,62
2011,12 BRONX,BRONX,DHS Advantage -Landlord/Broker,52
2011,12 BROOKLYN,BROOKLYN,Blocked Driveway,75
2011,12 BROOKLYN,BROOKLYN,GENERAL CONSTRUCTION,67
2011,12 BROOKLYN,BROOKLYN,Street Condition,58
2011,12 BROOKLYN,BROOKLYN,PAINT - PLASTER,57
2011,12 BROOKLYN,BROOKLYN,HEATING,57
2011,12 BROOKLYN,BROOKLYN,PLUMBING,55
2011,12 BROOKLYN,BROOKLYN,Noise - Residential,50
2011,12 BROOKLYN,BROOKLYN,Illegal Parking,49
2011,12 BROOKLYN,BROOKLYN,Water System,46
2011,12 BROOKLYN,BROOKLYN,Street Light Condition,44
2011,12 MANHATTAN,MANHATTAN,HEATING,348
2011,12 MANHATTAN,MANHATTAN,GENERAL CONSTRUCTION,257
2011,12 MANHATTAN,MANHATTAN,PLUMBING,236
2011,12 MANHATTAN,MANHATTAN,Noise - Residential,224
2011,12 MANHATTAN,MANHATTAN,PAINT - PLASTER,200
2011,12 MANHATTAN,MANHATTAN,Water System,148
2011,12 MANHATTAN,MANHATTAN,NONCONST,85
2011,12 MANHATTAN,MANHATTAN,Noise - Vehicle,49
2011,12 MANHATTAN,MANHATTAN,SCRIE,49
2011,12 MANHATTAN,MANHATTAN,Noise - Street/Sidewalk,45
2011,12 QUEENS,QUEENS,Sewer,146
2011,12 QUEENS,QUEENS,Noise - Residential,101
2011,12 QUEENS,QUEENS,GENERAL CONSTRUCTION,99
2011,12 QUEENS,QUEENS,Street Light Condition,97
2011,12 QUEENS,QUEENS,HEATING,94
2011,12 QUEENS,QUEENS,PLUMBING,87
2011,12 QUEENS,QUEENS,Dirty Conditions,85
2011,12 QUEENS,QUEENS,Blocked Driveway,84
2011,12 QUEENS,QUEENS,Water System,79
2011,12 QUEENS,QUEENS,NONCONST,62
2011,13 BROOKLYN,BROOKLYN,Noise - Residential,40
2011,13 BROOKLYN,BROOKLYN,GENERAL CONSTRUCTION,30
2011,13 BROOKLYN,BROOKLYN,PLUMBING,29
2011,13 BROOKLYN,BROOKLYN,PAINT - PLASTER,28
2011,13 BROOKLYN,BROOKLYN,Water System,25
2011,13 BROOKLYN,BROOKLYN,Street Condition,24
2011,13 BROOKLYN,BROOKLYN,HEATING,24
2011,13 BROOKLYN,BROOKLYN,Street Light Condition,23
2011,13 BROOKLYN,BROOKLYN,NONCONST,18
2011,13 BROOKLYN,BROOKLYN,Sewer,17
2011,13 QUEENS,QUEENS,Damaged Tree,115
2011,13 QUEENS,QUEENS,Street Light Condition,108
2011,13 QUEENS,QUEENS,Sewer,85
2011,13 QUEENS,QUEENS,Water System,81
2011,13 QUEENS,QUEENS,Dirty Conditions,55
2011,13 QUEENS,QUEENS,Noise - Residential,46
2011,13 QUEENS,QUEENS,Building/Use,45
2011,13 QUEENS,QUEENS,HEATING,40
2011,13 QUEENS,QUEENS,Blocked Driveway,37
2011,13 QUEENS,QUEENS,Derelict Vehicle,37
2011,14 BROOKLYN,BROOKLYN,GENERAL CONSTRUCTION,202
2011,14 BROOKLYN,BROOKLYN,HEATING,173
2011,14 BROOKLYN,BROOKLYN,PLUMBING,157
2011,14 BROOKLYN,BROOKLYN,PAINT - PLASTER,142
2011,14 BROOKLYN,BROOKLYN,Noise - Residential,128
2011,14 BROOKLYN,BROOKLYN,NONCONST,96
2011,14 BROOKLYN,BROOKLYN,Blocked Driveway,55
2011,14 BROOKLYN,BROOKLYN,ELECTRIC,38
2011,14 BROOKLYN,BROOKLYN,Dirty Conditions,34
2011,14 BROOKLYN,BROOKLYN,Water System,31
2011,14 QUEENS,QUEENS,Sewer,76
2011,14 QUEENS,QUEENS,Street Light Condition,71
2011,14 QUEENS,QUEENS,HEATING,66
2011,14 QUEENS,QUEENS,PAINT - PLASTER,51
2011,14 QUEENS,QUEENS,PLUMBING,47
2011,14 QUEENS,QUEENS,GENERAL CONSTRUCTION,41
2011,14 QUEENS,QUEENS,Noise - Residential,41
2011,14 QUEENS,QUEENS,Water System,29
2011,14 QUEENS,QUEENS,DHS Advantage - Tenant,29
2011,14 QUEENS,QUEENS,DHS Advantage -Landlord/Broker,27
2011,15 BROOKLYN,BROOKLYN,HEATING,73
2011,15 BROOKLYN,BROOKLYN,Noise - Residential,69
2011,15 BROOKLYN,BROOKLYN,Blocked Driveway,67
2011,15 BROOKLYN,BROOKLYN,PLUMBING,63
2011,15 BROOKLYN,BROOKLYN,Street Condition,45
2011,15 BROOKLYN,BROOKLYN,Illegal Parking,45
2011,15 BROOKLYN,BROOKLYN,GENERAL CONSTRUCTION,44
2011,15 BROOKLYN,BROOKLYN,Street Light Condition,43
2011,15 BROOKLYN,BROOKLYN,PAINT - PLASTER,41
2011,15 BROOKLYN,BROOKLYN,Water System,40
2011,16 BROOKLYN,BROOKLYN,GENERAL CONSTRUCTION,85
2011,16 BROOKLYN,BROOKLYN,HEATING,84
2011,16 BROOKLYN,BROOKLYN,PLUMBING,69
2011,16 BROOKLYN,BROOKLYN,Noise - Residential,64
2011,16 BROOKLYN,BROOKLYN,NONCONST,54
2011,16 BROOKLYN,BROOKLYN,PAINT - PLASTER,46
2011,16 BROOKLYN,BROOKLYN,ELECTRIC,29
2011,16 BROOKLYN,BROOKLYN,DHS Advantage -Landlord/Broker,28
2011,16 BROOKLYN,BROOKLYN,DHS Advantage - Tenant,26
2011,16 BROOKLYN,BROOKLYN,Street Light Condition,26
2011,17 BROOKLYN,BROOKLYN,GENERAL CONSTRUCTION,200
2011,17 BROOKLYN,BROOKLYN,HEATING,190
2011,17 BROOKLYN,BROOKLYN,PLUMBING,154
2011,17 BROOKLYN,BROOKLYN,PAINT - PLASTER,141
2011,17 BROOKLYN,BROOKLYN,Noise - Residential,108
2011,17 BROOKLYN,BROOKLYN,NONCONST,85
2011,17 BROOKLYN,BROOKLYN,ELECTRIC,61
2011,17 BROOKLYN,BROOKLYN,Blocked Driveway,55
2011,17 BROOKLYN,BROOKLYN,DHS Advantage -Landlord/Broker,37
2011,17 BROOKLYN,BROOKLYN,Dirty Conditions,30
2011,18 BROOKLYN,BROOKLYN,Blocked Driveway,106
2011,18 BROOKLYN,BROOKLYN,Sewer,100
2011,18 BROOKLYN,BROOKLYN,Noise - Residential,88
2011,18 BROOKLYN,BROOKLYN,HEATING,66
2011,18 BROOKLYN,BROOKLYN,GENERAL CONSTRUCTION,43
2011,18 BROOKLYN,BROOKLYN,Illegal Parking,42
2011,18 BROOKLYN,BROOKLYN,Derelict Vehicles,40
2011,18 BROOKLYN,BROOKLYN,Damaged Tree,38
2011,18 BROOKLYN,BROOKLYN,PAINT - PLASTER,37
2011,18 BROOKLYN,BROOKLYN,PLUMBING,35
2011,26 BRONX,BRONX,Highway Condition,3
2011,26 BRONX,BRONX,Street Sign - Missing,1
2011,26 BRONX,BRONX,For Hire Vehicle Complaint,1
2011,27 BRONX,BRONX,Highway Condition,3
2011,27 BRONX,BRONX,Illegal Tree Damage,1
2011,28 BRONX,BRONX,Highway Condition,3
2011,55 BROOKLYN,BROOKLYN,Sidewalk Condition,1
2011,55 BROOKLYN,BROOKLYN,Weatherization,1
2011,55 BROOKLYN,BROOKLYN,Damaged Tree,1
2011,56 BROOKLYN,BROOKLYN,Traffic Signal Condition,2
2011,56 BROOKLYN,BROOKLYN,Highway Condition,1
2011,56 BROOKLYN,BROOKLYN,Summer Camp,1
2011,64 MANHATTAN,MANHATTAN,Noise - Park,2
2011,64 MANHATTAN,MANHATTAN,Asbestos,1
2011,64 MANHATTAN,MANHATTAN,Violation of Park Rules,1
2011,64 MANHATTAN,MANHATTAN,Taxi Complaint,1
2011,64 MANHATTAN,MANHATTAN,Water System,1
2011,64 MANHATTAN,MANHATTAN,Consumer Complaint,1
2011,80 QUEENS,QUEENS,Taxi Complaint,14
2011,80 QUEENS,QUEENS,Street Condition,1
2011,80 QUEENS,QUEENS,Noise - Street/Sidewalk,1
2011,81 QUEENS,QUEENS,Highway Condition,6
2011,81 QUEENS,QUEENS,Street Condition,1
2011,82 QUEENS,QUEENS,Street Condition,1
2011,82 QUEENS,QUEENS,Street Light Condition,1
2011,82 QUEENS,QUEENS,Traffic Signal Condition,1
2011,82 QUEENS,QUEENS,Derelict Vehicle,1
2011,82 QUEENS,QUEENS,Sewer,1
2011,83 QUEENS,QUEENS,Taxi Complaint,13
2011,83 QUEENS,QUEENS,Highway Condition,2
2011,83 QUEENS,QUEENS,For Hire Vehicle Complaint,2
2011,83 QUEENS,QUEENS,Street Condition,1
2011,83 QUEENS,QUEENS,Food Establishment,1
2011,84 QUEENS,QUEENS,Street Light Condition,2
2011,Unspecified BRONX,BRONX,Street Light Condition,521
2011,Unspecified BRONX,BRONX,Street Condition,329
2011,Unspecified BRONX,BRONX,Traffic Signal Condition,149
2011,Unspecified BRONX,BRONX,General Construction/Plumbing,77
2011,Unspecified BRONX,BRONX,Water System,37
2011,Unspecified BRONX,BRONX,GENERAL CONSTRUCTION,35
2011,Unspecified BRONX,BRONX,Rodent,29
2011,Unspecified BRONX,BRONX,PLUMBING,24
2011,Unspecified BRONX,BRONX,PAINT - PLASTER,24
2011,Unspecified BRONX,BRONX,HEATING,21
2011,Unspecified BROOKLYN,BROOKLYN,Street Condition,630
2011,Unspecified BROOKLYN,BROOKLYN,Street Light Condition,424
2011,Unspecified BROOKLYN,BROOKLYN,General Construction/Plumbing,309
2011,Unspecified BROOKLYN,BROOKLYN,Traffic Signal Condition,145
2011,Unspecified BROOKLYN,BROOKLYN,GENERAL CONSTRUCTION,53
2011,Unspecified BROOKLYN,BROOKLYN,Rodent,43
2011,Unspecified BROOKLYN,BROOKLYN,PAINT - PLASTER,32
2011,Unspecified BROOKLYN,BROOKLYN,PLUMBING,32
2011,Unspecified BROOKLYN,BROOKLYN,NONCONST,27
2011,Unspecified BROOKLYN,BROOKLYN,Water System,25
2011,Unspecified MANHATTAN,MANHATTAN,Street Light Condition,514
2011,Unspecified MANHATTAN,MANHATTAN,Traffic Signal Condition,433
2011,Unspecified MANHATTAN,MANHATTAN,Street Condition,433
2011,Unspecified MANHATTAN,MANHATTAN,General Construction/Plumbing,163
2011,Unspecified MANHATTAN,MANHATTAN,Rodent,27
2011,Unspecified MANHATTAN,MANHATTAN,Noise,25
2011,Unspecified MANHATTAN,MANHATTAN,Water System,24
2011,Unspecified MANHATTAN,MANHATTAN,GENERAL CONSTRUCTION,21
2011,Unspecified MANHATTAN,MANHATTAN,HEATING,15
2011,Unspecified MANHATTAN,MANHATTAN,PAINT - PLASTER,12
2011,Unspecified QUEENS,QUEENS,Street Condition,693
2011,Unspecified QUEENS,QUEENS,Street Light Condition,412
2011,Unspecified QUEENS,QUEENS,General Construction/Plumbing,293
2011,Unspecified QUEENS,QUEENS,Traffic Signal Condition,146
2011,Unspecified QUEENS,QUEENS,Sewer,48
2011,Unspecified QUEENS,QUEENS,Water System,43
2011,Unspecified QUEENS,QUEENS,Rodent,18
2011,Unspecified QUEENS,QUEENS,GENERAL CONSTRUCTION,18
2011,Unspecified QUEENS,QUEENS,Plumbing,13
2011,Unspecified QUEENS,QUEENS,PLUMBING,12
2011,Unspecified STATEN ISLAND,STATEN ISLAND,Street Condition,327
2011,Unspecified STATEN ISLAND,STATEN ISLAND,General Construction/Plumbing,62
2011,Unspecified STATEN ISLAND,STATEN ISLAND,Sewer,7
2011,Unspecified STATEN ISLAND,STATEN ISLAND,Building/Use,6
2011,Unspecified STATEN ISLAND,STATEN ISLAND,Rodent,5
2011,Unspecified STATEN ISLAND,STATEN ISLAND,Noise,3
2011,Unspecified STATEN ISLAND,STATEN ISLAND,GENERAL CONSTRUCTION,3
2011,Unspecified STATEN ISLAND,STATEN ISLAND,PAINT - PLASTER,2
2011,Unspecified STATEN ISLAND,STATEN ISLAND,Water System,2
2011,Unspecified STATEN ISLAND,STATEN ISLAND,Damaged Tree,2
2012,0 Unspecified,Unspecified,DOF Parking - Payment Issue,396
2012,0 Unspecified,Unspecified,HPD Literature Request,217
2012,0 Unspecified,Unspecified,Benefit Card Replacement,164
2012,0 Unspecified,Unspecified,DCA / DOH New License Application Request,141
2012,0 Unspecified,Unspecified,DOF Parking - Request Status,73
2012,0 Unspecified,Unspecified,DOF Parking - Request Copy,57
2012,0 Unspecified,Unspecified,Street Light Condition,50
2012,0 Unspecified,Unspecified,Consumer Complaint,39
2012,0 Unspecified,Unspecified,OEM Literature Request,38
2012,0 Unspecified,Unspecified,Maintenance or Facility,35
2012,01 BRONX,BRONX,Noise - Residential,92
2012,01 BRONX,BRONX,HEATING,91
2012,01 BRONX,BRONX,GENERAL CONSTRUCTION,68
2012,01 BRONX,BRONX,PLUMBING,59
2012,01 BRONX,BRONX,PAINT - PLASTER,46
2012,01 BRONX,BRONX,NONCONST,45
2012,01 BRONX,BRONX,Water System,24
2012,01 BRONX,BRONX,ELECTRIC,22
2012,01 BRONX,BRONX,Graffiti,13
2012,01 BRONX,BRONX,Consumer Complaint,10
2012,01 BROOKLYN,BROOKLYN,Noise - Residential,118
2012,01 BROOKLYN,BROOKLYN,GENERAL CONSTRUCTION,79
2012,01 BROOKLYN,BROOKLYN,HEATING,75
2012,01 BROOKLYN,BROOKLYN,Noise - Commercial,70
2012,01 BROOKLYN,BROOKLYN,Water System,68
2012,01 BROOKLYN,BROOKLYN,PLUMBING,53
2012,01 BROOKLYN,BROOKLYN,NONCONST,46
2012,01 BROOKLYN,BROOKLYN,Noise - Street/Sidewalk,43
2012,01 BROOKLYN,BROOKLYN,Noise,42
2012,01 BROOKLYN,BROOKLYN,Graffiti,41
2012,01 MANHATTAN,MANHATTAN,Noise,69
2012,01 MANHATTAN,MANHATTAN,Taxi Complaint,43
2012,01 MANHATTAN,MANHATTAN,Street Light Condition,36
2012,01 MANHATTAN,MANHATTAN,Traffic Signal Condition,32
2012,01 MANHATTAN,MANHATTAN,Broken Muni Meter,29
2012,01 MANHATTAN,MANHATTAN,Consumer Complaint,19
2012,01 MANHATTAN,MANHATTAN,Sidewalk Condition,19
2012,01 MANHATTAN,MANHATTAN,General Construction/Plumbing,18
2012,01 MANHATTAN,MANHATTAN,HEATING,18
2012,01 MANHATTAN,MANHATTAN,Noise - Residential,18
2012,01 QUEENS,QUEENS,HEATING,115
2012,01 QUEENS,QUEENS,Blocked Driveway,114
2012,01 QUEENS,QUEENS,Noise - Residential,95
2012,01 QUEENS,QUEENS,Traffic Signal Condition,64
2012,01 QUEENS,QUEENS,Street Light Condition,52
2012,01 QUEENS,QUEENS,GENERAL CONSTRUCTION,50
2012,01 QUEENS,QUEENS,Noise - Commercial,42
2012,01 QUEENS,QUEENS,Illegal Parking,37
2012,01 QUEENS,QUEENS,Damaged Tree,36
2012,01 QUEENS,QUEENS,Noise,35
2012,01 STATEN ISLAND,STATEN ISLAND,Noise - Residential,121
2012,01 STATEN ISLAND,STATEN ISLAND,GENERAL CONSTRUCTION,86
2012,01 STATEN ISLAND,STATEN ISLAND,Water System,83
2012,01 STATEN ISLAND,STATEN ISLAND,Street Light Condition,81
2012,01 STATEN ISLAND,STATEN ISLAND,HEATING,69
2012,01 STATEN ISLAND,STATEN ISLAND,Damaged Tree,68
2012,01 STATEN ISLAND,STATEN ISLAND,Sewer,59
2012,01 STATEN ISLAND,STATEN ISLAND,PLUMBING,48
2012,01 STATEN ISLAND,STATEN ISLAND,NONCONST,47
2012,01 STATEN ISLAND,STATEN ISLAND,Sanitation Condition,44
2012,02 BRONX,BRONX,HEATING,92
2012,02 BRONX,BRONX,GENERAL CONSTRUCTION,62
2012,02 BRONX,BRONX,PLUMBING,58
2012,02 BRONX,BRONX,Noise - Residential,45
2012,02 BRONX,BRONX,PAINT - PLASTER,44
2012,02 BRONX,BRONX,NONCONST,29
2012,02 BRONX,BRONX,Street Light Condition,23
2012,02 BRONX,BRONX,ELECTRIC,21
2012,02 BRONX,BRONX,Water System,18
2012,02 BRONX,BRONX,Graffiti,14
2012,02 BROOKLYN,BROOKLYN,Noise - Residential,72
2012,02 BROOKLYN,BROOKLYN,HEATING,54
2012,02 BROOKLYN,BROOKLYN,Noise,47
2012,02 BROOKLYN,BROOKLYN,Street Light Condition,46
2012,02 BROOKLYN,BROOKLYN,Water System,42
2012,02 BROOKLYN,BROOKLYN,PLUMBING,37
2012,02 BROOKLYN,BROOKLYN,Traffic Signal Condition,36
2012,02 BROOKLYN,BROOKLYN,GENERAL CONSTRUCTION,33
2012,02 BROOKLYN,BROOKLYN,Dirty Conditions,29
2012,02 BROOKLYN,BROOKLYN,Broken Muni Meter,25
2012,02 MANHATTAN,MANHATTAN,Noise - Commercial,65
2012,02 MANHATTAN,MANHATTAN,Taxi Complaint,62
2012,02 MANHATTAN,MANHATTAN,Noise,55
2012,02 MANHATTAN,MANHATTAN,HEATING,51
2012,02 MANHATTAN,MANHATTAN,Noise - Residential,43
2012,02 MANHATTAN,MANHATTAN,Broken Muni Meter,37
2012,02 MANHATTAN,MANHATTAN,Street Condition,35
2012,02 MANHATTAN,MANHATTAN,General Construction/Plumbing,32
2012,02 MANHATTAN,MANHATTAN,Noise - Street/Sidewalk,31
2012,02 MANHATTAN,MANHATTAN,Graffiti,27
2012,02 QUEENS,QUEENS,HEATING,82
2012,02 QUEENS,QUEENS,Noise - Residential,61
2012,02 QUEENS,QUEENS,Blocked Driveway,46
2012,02 QUEENS,QUEENS,Street Light Condition,45
2012,02 QUEENS,QUEENS,Water System,43
2012,02 QUEENS,QUEENS,Damaged Tree,35
2012,02 QUEENS,QUEENS,Sewer,32
2012,02 QUEENS,QUEENS,Traffic Signal Condition,32
2012,02 QUEENS,QUEENS,PAINT - PLASTER,31
2012,02 QUEENS,QUEENS,GENERAL CONSTRUCTION,30
2012,02 STATEN ISLAND,STATEN ISLAND,Street Light Condition,76
2012,02 STATEN ISLAND,STATEN ISLAND,Damaged Tree,75
2012,02 STATEN ISLAND,STATEN ISLAND,Sewer,70
2012,02 STATEN ISLAND,STATEN ISLAND,Water System,58
2012,02 STATEN ISLAND,STATEN ISLAND,Missed Collection (All Materials),39
2012,02 STATEN ISLAND,STATEN ISLAND,Overgrown Tree/Branches,38
2012,02 STATEN ISLAND,STATEN ISLAND,Street Condition,36
2012,02 STATEN ISLAND,STATEN ISLAND,General Construction/Plumbing,33
2012,02 STATEN ISLAND,STATEN ISLAND,Sanitation Condition,30
2012,02 STATEN ISLAND,STATEN ISLAND,Traffic Signal Condition,29
2012,03 BRONX,BRONX,HEATING,105
2012,03 BRONX,BRONX,GENERAL CONSTRUCTION,89
2012,03 BRONX,BRONX,PLUMBING,70
2012,03 BRONX,BRONX,Noise - Residential,70
2012,03 BRONX,BRONX,PAINT - PLASTER,59
2012,03 BRONX,BRONX,NONCONST,49
2012,03 BRONX,BRONX,ELECTRIC,25
2012,03 BRONX,BRONX,Water System,19
2012,03 BRONX,BRONX,Rodent,13
2012,03 BRONX,BRONX,Blocked Driveway,13
2012,03 BROOKLYN,BROOKLYN,HEATING,223
2012,03 BROOKLYN,BROOKLYN,GENERAL CONSTRUCTION,171
2012,03 BROOKLYN,BROOKLYN,PLUMBING,141
2012,03 BROOKLYN,BROOKLYN,Noise - Residential,133
2012,03 BROOKLYN,BROOKLYN,PAINT - PLASTER,107
2012,03 BROOKLYN,BROOKLYN,NONCONST,91
2012,03 BROOKLYN,BROOKLYN,Dirty Conditions,52
2012,03 BROOKLYN,BROOKLYN,ELECTRIC,48
2012,03 BROOKLYN,BROOKLYN,Street Light Condition,47
2012,03 BROOKLYN,BROOKLYN,Blocked Driveway,35
2012,03 MANHATTAN,MANHATTAN,HEATING,145
2012,03 MANHATTAN,MANHATTAN,Noise - Residential,128
2012,03 MANHATTAN,MANHATTAN,Noise - Commercial,76
2012,03 MANHATTAN,MANHATTAN,Noise,71
2012,03 MANHATTAN,MANHATTAN,Taxi Complaint,48
2012,03 MANHATTAN,MANHATTAN,GENERAL CONSTRUCTION,43
2012,03 MANHATTAN,MANHATTAN,Broken Muni Meter,42
2012,03 MANHATTAN,MANHATTAN,Graffiti,41
2012,03 MANHATTAN,MANHATTAN,Noise - Street/Sidewalk,34
2012,03 MANHATTAN,MANHATTAN,PLUMBING,34
2012,03 QUEENS,QUEENS,Noise - Residential,92
2012,03 QUEENS,QUEENS,Blocked Driveway,75
2012,03 QUEENS,QUEENS,HEATING,70
2012,03 QUEENS,QUEENS,PLUMBING,45
2012,03 QUEENS,QUEENS,GENERAL CONSTRUCTION,45
2012,03 QUEENS,QUEENS,Dirty Conditions,34
2012,03 QUEENS,QUEENS,PAINT - PLASTER,34
2012,03 QUEENS,QUEENS,Water System,32
2012,03 QUEENS,QUEENS,Traffic Signal Condition,29
2012,03 QUEENS,QUEENS,NONCONST,29
2012,03 STATEN ISLAND,STATEN ISLAND,Damaged Tree,125
2012,03 STATEN ISLAND,STATEN ISLAND,Street Light Condition,92
2012,03 STATEN ISLAND,STATEN ISLAND,Sewer,63
2012,03 STATEN ISLAND,STATEN ISLAND,Street Condition,50
2012,03 STATEN ISLAND,STATEN ISLAND,Water System,49
2012,03 STATEN ISLAND,STATEN ISLAND,Illegal Parking,48
2012,03 STATEN ISLAND,STATEN ISLAND,Sanitation Condition,44
2012,03 STATEN ISLAND,STATEN ISLAND,Missed Collection (All Materials),42
2012,03 STATEN ISLAND,STATEN ISLAND,Overgrown Tree/Branches,32
2012,03 STATEN ISLAND,STATEN ISLAND,Sidewalk Condition,28
2012,04 BRONX,BRONX,HEATING,387
2012,04 BRONX,BRONX,GENERAL CONSTRUCTION,221
2012,04 BRONX,BRONX,PLUMBING,194
2012,04 BRONX,BRONX,PAINT - PLASTER,175
2012,04 BRONX,BRONX,Noise - Residential,146
2012,04 BRONX,BRONX,NONCONST,104
2012,04 BRONX,BRONX,ELECTRIC,70
2012,04 BRONX,BRONX,Water System,65
2012,04 BRONX,BRONX,Noise - Street/Sidewalk,29
2012,04 BRONX,BRONX,Blocked Driveway,21
2012,04 BROOKLYN,BROOKLYN,HEATING,124
2012,04 BROOKLYN,BROOKLYN,NONCONST,116
2012,04 BROOKLYN,BROOKLYN,GENERAL CONSTRUCTION,108
2012,04 BROOKLYN,BROOKLYN,Noise - Residential,106
2012,04 BROOKLYN,BROOKLYN,PLUMBING,95
2012,04 BROOKLYN,BROOKLYN,PAINT - PLASTER,81
2012,04 BROOKLYN,BROOKLYN,Water System,65
2012,04 BROOKLYN,BROOKLYN,ELECTRIC,36
2012,04 BROOKLYN,BROOKLYN,Blocked Driveway,34
2012,04 BROOKLYN,BROOKLYN,Rodent,28
2012,04 MANHATTAN,MANHATTAN,HEATING,91
2012,04 MANHATTAN,MANHATTAN,Taxi Complaint,90
2012,04 MANHATTAN,MANHATTAN,Noise - Residential,64
2012,04 MANHATTAN,MANHATTAN,Noise,57
2012,04 MANHATTAN,MANHATTAN,Noise - Commercial,42
2012,04 MANHATTAN,MANHATTAN,NONCONST,37
2012,04 MANHATTAN,MANHATTAN,GENERAL CONSTRUCTION,37
2012,04 MANHATTAN,MANHATTAN,Broken Muni Meter,31
2012,04 MANHATTAN,MANHATTAN,General Construction/Plumbing,30
2012,04 MANHATTAN,MANHATTAN,PAINT - PLASTER,29
2012,04 QUEENS,QUEENS,HEATING,86
2012,04 QUEENS,QUEENS,Noise - Residential,85
2012,04 QUEENS,QUEENS,Blocked Driveway,80
2012,04 QUEENS,QUEENS,PLUMBING,46
2012,04 QUEENS,QUEENS,Street Light Condition,38
2012,04 QUEENS,QUEENS,Water System,36
